radius,dir_idx,sign,gp,Delta,feasible,improved
0.001,1,1.0,0.8940839180420251,0.9561367536493395,true,false
0.001,1,-1.0,0.8920839180420251,1.0456733685173198,false,false
0.001,2,1.0,0.8930839180420251,0.9987842378114978,true,false
0.001,2,-1.0,0.8930839180420251,0.9987728449465283,true,false
0.001,3,1.0,0.8930839180420251,0.9987647425576418,true,false
0.001,3,-1.0,0.8930839180420251,0.9987763639474014,true,false
0.001,4,1.0,0.8930839180420251,0.9987733778799145,true,false
0.001,4,-1.0,0.8930839180420251,0.9987937956183449,true,false
0.001,5,1.0,0.8930839180420251,0.9987745019291775,true,false
0.001,5,-1.0,0.8930839180420251,0.9987640020078665,true,false
0.001,6,1.0,0.8930839180420251,0.9999459602250543,true,false
0.001,6,-1.0,0.8930839180420251,0.9989994266272791,true,false
0.001,7,1.0,0.8930839180420251,0.99883876397957,true,false
0.001,7,-1.0,0.8930839180420251,1.0002214231337008,false,false
0.001,8,1.0,0.8930839180420251,0.9988706270047785,true,false
0.001,8,-1.0,0.8930839180420251,0.9986388030582694,true,false
0.001,9,1.0,0.8930839180420251,0.9989301676725129,true,false
0.001,9,-1.0,0.8930839180420251,0.998709539476878,true,false
0.001,10,1.0,0.8930839180420251,0.9987734085301435,true,false
0.001,10,-1.0,0.8930839180420251,0.9987766674827177,true,false
0.001,11,1.0,0.8930839180420251,0.9987635356268257,true,false
0.001,11,-1.0,0.8930839180420251,0.9987766296116526,true,false
0.001,12,1.0,0.8930839180420251,0.9987856561340408,true,false
0.001,12,-1.0,0.8930839180420251,0.9987878645642791,true,false
0.001,13,1.0,0.8930839180420251,0.9987702130375016,true,false
0.001,13,-1.0,0.8930839180420251,0.9987682139823345,true,false
0.001,14,1.0,0.8930839180420251,0.9987791571257518,true,false
0.001,14,-1.0,0.8930839180420251,0.9987592386652481,true,false
0.001,15,1.0,0.8930839180420251,0.9987619396933923,true,false
0.001,15,-1.0,0.8930839180420251,0.9987760982238033,true,false
0.001,16,1.0,0.8930839180420251,0.9987918166306271,true,false
0.001,16,-1.0,0.8930839180420251,0.9987464477604618,true,false
0.001,17,1.0,0.8927973307818701,1.0120460035434171,false,false
0.001,17,-1.0,0.8933705053021802,0.9872273650524767,true,false
0.001,18,1.0,0.893064593589446,0.9998092122907517,true,true
0.001,18,-1.0,0.8931032424946043,0.9980866204853096,true,false
0.001,19,1.0,0.8931114034430674,0.9977471495459127,true,false
0.001,19,-1.0,0.8930564326409829,1.001197227917868,false,false
0.001,20,1.0,0.8930651554888783,0.9998056125908148,true,true
0.001,20,-1.0,0.893102680595172,0.9991496515997251,true,false
0.001,21,1.0,0.8931360188664048,0.9965754531752384,true,false
0.001,21,-1.0,0.8930318172176455,1.0024027867527054,false,false
0.001,22,1.0,0.8932706257879084,0.990872941335819,true,false
0.001,22,-1.0,0.8928972102961419,1.0085196610040472,false,false
0.001,23,1.0,0.8927638652888468,1.0135507076150083,false,false
0.001,23,-1.0,0.8934039707952035,0.9847638826047085,true,false
0.001,24,1.0,0.8930079427134716,1.0023411100157884,false,false
0.001,24,-1.0,0.8931598933705787,0.9966220266917597,true,false
0.001,25,1.0,0.8930838925944923,1.000074531522145,false,false
0.001,25,-1.0,0.893083943489558,0.9988706561669632,true,false
0.001,26,1.0,0.8932084090828442,0.9950209582566254,true,false
0.001,26,-1.0,0.8929594270012061,1.0046704196106657,false,false
0.001,27,1.0,0.8931692472947032,0.9961836783974837,true,false
0.001,27,-1.0,0.8929985887893471,1.0027967232682413,false,false
0.001,28,1.0,0.8935669629712749,0.977989360258173,true,false
0.001,28,-1.0,0.8926008731127754,1.020888464453638,false,false
0.001,29,1.0,0.8932150860881826,0.9932461863113033,true,false
0.001,29,-1.0,0.8929527499958677,1.0061244462524677,false,false
0.001,30,1.0,0.8928852238318437,1.007792189199091,false,false
0.001,30,-1.0,0.8932826122522066,0.9902694846967194,true,false
0.001,31,1.0,0.8932788206971053,0.9903235272392864,true,false
0.001,31,-1.0,0.892889015386945,1.0087649050729428,false,false
0.001,32,1.0,0.893267141538241,0.9916652466214357,true,false
0.001,32,-1.0,0.8929006945458092,1.007069557442817,false,false
0.001,33,1.0,0.8931828516105184,0.9945684765595947,true,false
0.001,33,-1.0,0.8929849844735319,1.003324883673228,false,false
0.001,34,1.0,0.8933629042140702,0.9869064685280035,true,false
0.001,34,-1.0,0.8928049318699801,1.0126797852926264,false,false
0.001,35,1.0,0.8930699916553521,0.9998512744233814,true,true
0.001,35,-1.0,0.8930978444286982,0.9983878642020796,true,false
0.001,36,1.0,0.8935663058383218,0.9777112178573948,true,false
0.001,36,-1.0,0.8926015302457285,1.0211549392132628,false,false
0.005,1,1.0,0.8980839180420251,0.8161842599556145,true,false
0.005,1,-1.0,0.8880839180420251,1.3076352922123378,false,false
0.005,2,1.0,0.8930839180420251,0.9990253357500406,true,false
0.005,2,-1.0,0.8930839180420251,0.9990396966341658,true,false
0.005,3,1.0,0.8930839180420251,0.9987798126018291,true,false
0.005,3,-1.0,0.8930839180420251,0.9987733993218982,true,false
0.005,4,1.0,0.8930839180420251,0.9989870182762718,true,false
0.005,4,-1.0,0.8930839180420251,0.999136980853458,true,false
0.005,5,1.0,0.8930839180420251,0.9987741428603947,true,false
0.005,5,-1.0,0.8930839180420251,0.9987767804622225,true,false
0.005,6,1.0,0.8930839180420251,1.0000701916011296,false,false
0.005,6,-1.0,0.8930839180420251,0.9982167075289867,true,false
0.005,7,1.0,0.8930839180420251,0.9975792623265454,true,false
0.005,7,-1.0,0.8930839180420251,1.000525081380386,false,false
0.005,8,1.0,0.8930839180420251,0.9994507613342033,true,false
0.005,8,-1.0,0.8930839180420251,0.9984308846658437,true,false
0.005,9,1.0,0.8930839180420251,0.9986007360761116,true,false
0.005,9,-1.0,0.8930839180420251,0.9983839656901022,true,false
0.005,10,1.0,0.8930839180420251,0.9990467446131057,true,false
0.005,10,-1.0,0.8930839180420251,0.9989759070423289,true,false
0.005,11,1.0,0.8930839180420251,0.9987643727686625,true,false
0.005,11,-1.0,0.8930839180420251,0.9987675664764255,true,false
0.005,12,1.0,0.8930839180420251,0.9991292155399196,true,false
0.005,12,-1.0,0.8930839180420251,0.9990379891178454,true,false
0.005,13,1.0,0.8930839180420251,0.9987523297276428,true,false
0.005,13,-1.0,0.8930839180420251,0.9987974475363731,true,false
0.005,14,1.0,0.8930839180420251,0.9987963235910163,true,false
0.005,14,-1.0,0.8930839180420251,0.9987519253070687,true,false
0.005,15,1.0,0.8930839180420251,0.9988123206825132,true,false
0.005,15,-1.0,0.8930839180420251,0.9987524791781427,true,false
0.005,16,1.0,0.8930839180420251,0.9988584803759804,true,false
0.005,16,-1.0,0.8930839180420251,0.9986868271391365,true,false
0.005,17,1.0,0.89165098174125,1.0678047701967655,false,false
0.005,17,-1.0,0.8945168543428003,0.940728053533151,true,false
0.005,18,1.0,0.8929872957791294,1.004647831470714,false,false
0.005,18,-1.0,0.8931805403049209,0.9938194475282425,true,false
0.005,19,1.0,0.8932213450472362,0.9921705314696039,true,false
0.005,19,-1.0,0.8929464910368141,1.0063859232831311,false,false
0.005,20,1.0,0.8929901052762911,1.0024115105897602,false,false
0.005,20,-1.0,0.8931777308077592,0.9957438419662797,true,false
0.005,21,1.0,0.8933444221639233,0.9867737188293838,true,false
0.005,21,-1.0,0.892823413920127,1.0121494646900002,false,false
0.005,22,1.0,0.8940174567714416,0.9575718638615656,true,false
0.005,22,-1.0,0.8921503793126087,1.0439412612988825,false,false
0.005,23,1.0,0.8914836542761333,1.0778659012809328,false,false
0.005,23,-1.0,0.894684181807917,0.9322940491633597,true,false
0.005,24,1.0,0.8927040413992575,1.0158906707907067,false,false
0.005,24,-1.0,0.8934637946847928,0.9836735307348968,true,false
0.005,25,1.0,0.8930837908043611,1.0003803119421157,false,false
0.005,25,-1.0,0.8930840452796892,0.9986247675419069,true,false
0.005,26,1.0,0.8937063732461202,0.9732176352606509,true,false
0.005,26,-1.0,0.89246146283793,1.0265456416551462,false,false
0.005,27,1.0,0.8935105643054151,0.9816622876677678,true,false
0.005,27,-1.0,0.8926572717786352,1.017690275830049,false,false
0.005,28,1.0,0.895499142688274,0.9032220637882051,true,false
0.005,28,-1.0,0.8906686933957763,1.1218813526832292,false,false
0.005,29,1.0,0.8937397582728125,0.968892245790205,true,false
0.005,29,-1.0,0.8924280778112378,1.030198387421624,false,false
0.005,30,1.0,0.8920904469911177,1.045840491470098,false,false
0.005,30,-1.0,0.8940773890929326,0.9567853155876693,true,false
0.005,31,1.0,0.8940584313174258,0.9571188205934827,true,false
0.005,31,-1.0,0.8921094047666245,1.0455538491928562,false,false
0.005,32,1.0,0.8940000355231048,0.960793509918907,true,false
0.005,32,-1.0,0.8921678005609455,1.0418057274601842,false,false
0.005,33,1.0,0.8935785858844913,0.9773491270259257,true,false
0.005,33,-1.0,0.8925892501995589,1.022392081032409,false,false
0.005,34,1.0,0.8944788489022505,0.9389253071138096,true,false
0.005,34,-1.0,0.8916889871817998,1.066879737373589,false,false
0.005,35,1.0,0.8930142861086595,1.0026886318311745,false,false
0.005,35,-1.0,0.8931535499753908,0.9960783414430966,true,false
0.005,36,1.0,0.8954958570235082,0.9020627276596965,true,false
0.005,36,-1.0,0.8906719790605421,1.1228755331885247,false,false
