kind,idx,slope_central,slope_right,slope_left,predicted_from_h01_grad,actual_minus_predicted,ok_plus,ok_minus,winner_switch_plus,winner_switch_minus
random,1,12.970396871839833,14.996899050607503,10.943894693072165,21.815552867268,-8.845155995428167,true,true,true,true
random,2,0.9312949137957383,1.00200790471634,0.8605819228751366,1.5039647065665165,-0.5726697927707782,true,true,true,true
random,3,-1.3506146301168254,-1.3155018649637529,-1.3857273952698979,-2.122014397770486,0.7713997676536606,true,true,true,true
random,4,0.7104125262010375,0.7631938982813447,0.6576311541207303,1.4017072891736813,-0.6912947629726438,true,true,true,true
random,5,-2.4345351029612714,-2.3114051803026503,-2.557665025619893,-3.993025529206213,1.5584904262449415,true,true,true,true
random,6,-8.56877708515405,-7.779168642736389,-9.358385527571711,-14.255896780498277,5.687119695344228,true,true,true,true
random,7,14.838405895173212,17.286473260343893,12.39033853000253,24.377041593366375,-9.538635698193163,true,true,true,true
random,8,3.2817840368113913,3.4776395488666623,3.085928524756121,5.778997093749203,-2.4972130569378113,true,true,true,true
random,9,0.08771107470801898,0.155302276046676,0.02011987336936194,0.0024890695499979543,0.08522200515802102,true,true,true,true
random,10,-5.48797270524608,-5.030489543371086,-5.945455867121074,-9.431361479353358,3.9433887741072775,true,true,true,true
random,11,-3.680123339539476,-3.4922776570443848,-3.8679690220345675,-6.4761584115658195,2.7960350720263434,true,true,true,true
random,12,-23.48381801552507,-17.5516547587508,-29.41598127229934,-36.79076452606929,13.306946510544218,true,true,true,true
random,13,-5.9584168129381165,-5.564075816823388,-6.352757809052845,-10.032482083590256,4.07406527065214,true,true,true,true
random,14,9.025918034244535,9.939143179162535,8.112692889326533,15.113789795613728,-6.087871761369193,true,true,true,true
random,15,-8.888947891901111,-7.943672360953347,-9.834223422848876,-14.85190399067512,5.96295609877401,true,true,true,true
random,16,-8.16151337450437,-7.386132450703098,-8.936894298305642,-13.95736187435628,5.79584849985191,true,true,true,true
random,17,-4.494215724503819,-4.1802569089711135,-4.808174540036525,-7.533576126698377,3.039360402194558,true,true,true,true
random,18,-12.87257219342734,-11.118972989672338,-14.626171397182341,-21.27028066672735,8.397708473300009,true,true,true,true
random,19,0.6351981136801133,0.7099008678135288,0.5604953595466977,1.0436627916673114,-0.4084646779871981,true,true,true,true
random,20,-23.58973440162424,-17.708886217374562,-29.470582585873917,-36.74515002724438,13.155415625620137,true,true,true,true
weak_sensitivity,1,0.0019004264025013207,0.09543587250853136,-0.09163501970352872,0.001900426402473565,2.7755575615628914e-14,true,true,true,true
weak_sensitivity,2,-0.0020396598279237566,0.0023195560071354038,-0.006398875662982917,-0.0020396598279570632,3.3306690738754696e-14,true,true,true,true
weak_sensitivity,3,-0.0039189619637058914,0.0026776704721620526,-0.010515594399573835,-0.003918961963728096,2.220446049250313e-14,true,true,true,true
