h,n_winner_switches,n_nonfinite,eta,kkt_residual_relative,sign_agreement_left_right,norm_grad_central,norm_grad_left,norm_grad_right
0.02,31,1,-0.0,1.0,0.125,0.07714089698777911,0.5405726838457834,23.759774669775606
0.01,30,0,0.013127191264871906,0.0011795092768966532,0.25,76.17770505520618,121.20612546570838,31.15153620197128
0.005,28,0,0.020346788998084665,0.0074131220248775465,0.5,49.14645365062496,61.77455716117311,36.51909307332931
0.0025,23,0,0.02193744054983556,0.013395223160938703,0.5625,45.58007930332091,51.101860558581976,40.05930119770125
0.001,10,0,0.022329114872033897,0.01906097269033188,0.625,44.776442276672334,46.92770063701796,42.64894430084556
