idx,phase,g,GT,classification,Delta,within_budget,lfd_ok,lfd_Delta,nStatus,unique_inner_solves,wall_s,timestamp
1,anchor,-0.39407748553985067,0.40414052220195673,FiniteSolved,0.20311548262055795,true,true,0.20311548262055795,0,0,0.0,2026-07-30T22:13:49.575
2,expand,-0.3865658914561648,-0.09585947779804371,InfiniteDeltaCertified,Inf,false,false,NaN,-999,2,2.7185628414154053,2026-07-30T22:13:59.150
3,polish,-0.39031698649911417,0.15414052220195096,AboveEvaluationCap,11.204723841928514,false,false,NaN,-999,2,1.9181339740753174,2026-07-30T22:14:01.685
4,polish,-0.39332463114803384,0.35414052220195114,FiniteSolved,0.3866327089599063,true,false,0.3866327089599063,0,12,7.549745082855225,2026-07-30T22:14:10.112
5,polish,-0.39370101111146494,0.3791405222019595,FiniteSolved,0.25898929425463435,true,false,0.25898929425463435,0,10,7.411048173904419,2026-07-30T22:14:18.380
6,polish,-0.3938892365145748,0.39164052220195256,FiniteSolved,0.22633508891745358,true,false,0.22633508891745358,0,10,6.087867975234985,2026-07-30T22:14:25.346
7,polish,-0.3939833580740716,0.3978905222019713,FiniteSolved,0.21381198166262766,true,false,0.21381198166262766,0,10,6.548363924026489,2026-07-30T22:14:32.780
