idx,phase,g,GT,classification,Delta,within_budget,lfd_ok,lfd_Delta,nStatus,unique_inner_solves,wall_s,timestamp
1,anchor,-0.3927978578101227,0.319140522201955,FiniteSolved,0.12387107417401742,true,true,0.12387107417401744,0,0,0.0,2026-07-31T03:30:13.431
2,expand,-0.38529265302565474,-0.18085947779804545,InfiniteDeltaCertified,Inf,false,false,NaN,-999,2,3.059476852416992,2026-07-31T03:30:25.522
3,polish,-0.3890405614145469,0.06914052220194922,AboveEvaluationCap,40.695854436606396,false,false,NaN,-999,2,2.0357518196105957,2026-07-31T03:30:28.195
4,polish,-0.3920456452324011,0.2691405222019494,FiniteSolved,0.16317564072987936,true,false,0.16317564072987936,0,200,129.4312620162964,2026-07-31T03:32:38.254
5,polish,-0.39242170436928236,0.29414052220195774,FiniteSolved,0.12969431413253843,true,true,0.12969431413253843,0,216,131.80450081825256,2026-07-31T03:34:50.642
6,polish,-0.3922336630158022,0.28164052220195357,FiniteSolved,0.12830867192090947,true,true,0.12830867192090947,0,210,124.92812204360962,2026-07-31T03:36:56.133
7,polish,-0.39213965117821126,0.27539052220195703,FiniteSolved,0.12538649429297316,true,true,0.12538649429297316,0,192,117.43345594406128,2026-07-31T03:38:54.202
8,polish,-0.3920926474688797,0.2722655222019532,FiniteSolved,0.11376383122706066,true,true,0.11376383122706064,0,218,133.61328291893005,2026-07-31T03:41:08.395
