idx,phase,g,GT,classification,Delta,within_budget,lfd_ok,lfd_Delta,nStatus,unique_inner_solves,wall_s,timestamp
1,anchor,-0.5063500125675857,7.586576796053218,FiniteSolved,0.4282062174200457,true,true,0.4282062174200457,0,0,0.0,2026-07-30T21:55:56.006
2,expand,-0.5144877510917,8.086576796053224,FiniteSolved,0.5555833747099567,false,true,0.5555833747099567,0,198,128.5618441104889,2026-07-30T21:58:12.421
3,polish,-0.5109312681857511,7.868392563132054,FiniteSolved,0.49026897038364947,true,true,0.49026897038364947,0,186,111.30929899215698,2026-07-30T22:00:04.916
4,polish,-0.5116418904963822,7.912029409716281,FiniteSolved,0.44947520880817765,true,true,0.4494752088081777,0,200,109.15752911567688,2026-07-30T22:01:54.796
5,polish,-0.5129963108895828,7.99514243096967,FiniteSolved,0.45435552573061,true,true,0.45435552573060994,0,190,111.39811110496521,2026-07-30T22:03:46.789
6,polish,-0.5136686300378326,8.036370942357351,FiniteSolved,0.43056902014670045,true,true,0.4305690201467005,0,191,122.99911093711853,2026-07-30T22:05:50.693
7,polish,-0.5141235015863832,8.064254473241894,FiniteSolved,0.4097223642055438,true,true,0.4097223642055438,0,197,145.58822107315063,2026-07-30T22:08:16.892
8,polish,-0.5143489358033081,8.078070410221061,FiniteSolved,0.37981859156291187,true,true,0.37981859156291187,0,195,146.18765306472778,2026-07-30T22:10:44.230
9,polish,-0.5144438511353211,8.083886759843061,FiniteSolved,0.35424512418729415,true,true,0.35424512418729415,0,201,128.5298490524292,2026-07-30T22:12:53.383
