call_idx,source,reason,wall_seconds,n_inner_solves
1,cheap,none,2.9858438968658447,1
2,cheap,none,0.15082883834838867,1
3,cheap,none,0.14815497398376465,1
4,cheap,none,0.3032209873199463,1
5,cheap,none,0.13605093955993652,1
6,cheap,none,0.15660619735717773,1
7,cheap,none,0.14973211288452148,1
8,cheap,none,0.14208698272705078,1
9,cheap,none,0.14246201515197754,1
10,cheap,none,0.1396961212158203,1
11,cheap,none,0.13959598541259766,1
12,cheap,none,0.14281988143920898,1
13,cheap,none,0.1427769660949707,1
14,cheap,none,0.14305996894836426,1
15,cheap,none,0.1455390453338623,1
16,cheap,none,0.14428210258483887,1
17,cheap,none,0.13795018196105957,1
18,cheap,none,0.14229583740234375,1
19,cheap,none,0.1527700424194336,1
20,cheap,none,0.1391768455505371,1
21,cheap,none,0.14571595191955566,1
22,cheap,none,0.46056199073791504,1
23,cheap,none,0.14527106285095215,1
24,cheap,none,0.1593480110168457,1
25,cheap,none,0.1535348892211914,1
26,cheap,none,0.15305685997009277,1
27,cheap,none,0.12912511825561523,1
28,cheap,none,0.1398911476135254,1
29,cheap,none,0.14101099967956543,1
30,cheap,none,0.14348912239074707,1
31,cheap,none,0.14130115509033203,1
32,cheap,none,0.13587307929992676,1
33,cheap,none,0.1418628692626953,1
34,cheap,none,0.14234495162963867,1
35,cheap,none,0.13874483108520508,1
36,cheap,none,0.14042901992797852,1
37,cheap,none,0.1393580436706543,1
38,cheap,none,0.14629292488098145,1
39,cheap,none,0.13862299919128418,1
40,cheap,none,0.14006495475769043,1
41,cheap,none,0.13737893104553223,1
42,cheap,none,0.13924288749694824,1
43,cheap,none,0.13619613647460938,1
44,cheap,none,0.13904881477355957,1
45,cheap,none,0.1387341022491455,1
46,cheap,none,0.429110050201416,1
47,cheap,none,0.13208508491516113,1
48,cheap,none,0.13370299339294434,1
49,cheap,none,0.1419820785522461,1
50,cheap,none,0.142380952835083,1
51,cheap,none,0.13866305351257324,1
52,cheap,none,0.13498592376708984,1
53,cheap,none,0.13772892951965332,1
54,cheap,none,0.13910889625549316,1
55,cheap,none,0.13944506645202637,1
56,cheap,none,0.13930797576904297,1
57,cheap,none,0.1448519229888916,1
58,cheap,none,0.13787508010864258,1
59,cheap,none,0.32648396492004395,1
60,cheap,none,0.4174199104309082,1
61,cheap,none,0.15260601043701172,1
