idx,kind,gamma_focal_prime,Delta,feasible,inner_status,gravity_value
1,F,0.9609650007465946,0.0010029941762691214,true,0,-6.992571199895687e-18
2,F,0.9863165302194051,0.2556346728961075,true,0,-5.822398600307654e-18
3,F,0.9993792553740581,4.226504270327973,false,0,-2.3712687358384138e-18
4,F,0.9928478927967316,0.5493209594670002,true,0,-4.2921277019743534e-18
5,F,0.9981800030102495,1.7282440649963924,false,0,-6.75064083137996e-18
6,F,0.9938000604331498,0.6305556743511012,true,0,-6.85249654328729e-18
7,F,0.9965338795997244,1.0400883420217635,false,0,-5.930077663727357e-18
8,F,0.9951130845045526,0.7762773033715384,true,0,-8.288217388883329e-18
9,F,0.9966167029254184,1.0610234988266989,false,0,-6.8092978629773204e-18
10,F,0.9958354356582081,0.8909670391187889,true,0,-8.100176074592874e-18
11,F,0.996430744730475,1.0116874296851284,false,0,-6.0173220572945496e-18
12,F,0.9962577053426416,0.9703635767698152,true,0,-6.937623354486347e-18
13,F,0.9999812885267132,NaN,false,-300,NaN
14,F,0.9981194969346774,1.930066107885138,false,0,-5.936006894358137e-18
15,F,0.9966836067898481,2.2235464305756736,false,0,-5.312590645178972e-18
16,F,0.9971886011386595,1.2322149749952716,false,0,-7.345469718589293e-18
17,F,0.9967969040464285,1.2163262051928503,false,0,-5.637851296924623e-18
18,F,0.9967231532406505,1.0676385283788217,false,0,-4.255493527005605e-18
19,F,0.9965776647637365,1.1000528143787476,false,0,-1.9922214919421144e-18
20,F,0.9964904292916461,0.9867854497003956,true,0,-4.8043708768263915e-18
21,F,0.9965756781212952,0.9976906995879854,true,0,-5.651403824080692e-18
22,F,0.996603011635559,1.0022006923133668,false,0,-5.692061405548898e-18
23,F,0.9966169611938396,0.9977053770209859,true,0,-4.909402962285925e-18
24,F,0.9966857184733637,1.017659495937104,false,0,-4.9483664778596226e-18
25,F,0.9966093938844298,1.0020345614929154,false,0,-9.175060884658581e-18
26,F,0.9966513398336017,1.016180340991802,false,0,-7.145569943037278e-18
