neval,step,i,screen_status,inner_status,Delta_dual,wall
1,1.0,1,screen_passed,0,0.041682815107808566,4.1248979568481445
2,1.0,2,screen_passed,0,0.029468692804890208,5.007973909378052
3,1.0,3,screen_passed,0,0.034994757062746115,3.831835985183716
4,1.0,4,screen_passed,0,0.02583688522596956,4.440280914306641
5,1.0,5,screen_passed,0,0.03269224809454669,4.4160120487213135
6,1.0,6,screen_passed,0,0.029099290416218525,5.400256156921387
7,1.0,7,screen_passed,0,0.02277159443806258,4.906632900238037
8,1.0,8,screen_passed,0,0.031030752665497912,5.69234299659729
9,2.0,1,screen_passed,0,0.1104199698252022,5.243021011352539
10,2.0,2,screen_passed,0,0.07089581239769684,4.791893005371094
11,2.0,3,screen_passed,0,0.1042100261181251,5.378185033798218
12,2.0,4,screen_passed,0,0.13157282969116688,4.2296061515808105
13,2.0,5,screen_passed,0,0.10302691718547645,4.324916839599609
14,2.0,6,screen_passed,0,0.14496319374017738,5.56860089302063
15,2.0,7,screen_passed,0,0.11151249885385375,4.777600049972534
16,2.0,8,screen_passed,0,0.14293599498553744,5.263663053512573
17,4.0,1,screen_passed,0,0.43198230615995,4.990034818649292
18,4.0,2,screen_passed,0,0.4817528067921484,5.67383885383606
19,4.0,3,screen_passed,0,0.4294986595491267,5.411799907684326
20,4.0,4,screen_passed,0,0.43279351307479075,6.476760149002075
21,4.0,5,screen_passed,0,0.4975258827756018,5.956130027770996
22,4.0,6,screen_passed,0,0.552201539649283,5.354282855987549
23,4.0,7,screen_passed,0,0.4063844153672751,5.943819999694824
24,4.0,8,screen_passed,-300,NaN,4.381878137588501
25,8.0,1,screen_passed,-300,NaN,10.61254096031189
26,8.0,2,screen_passed,-300,NaN,4.9578471183776855
27,8.0,3,screen_passed,-300,NaN,14.569262981414795
28,8.0,4,screen_passed,-300,NaN,4.216034889221191
29,8.0,5,screen_passed,-300,NaN,4.900028944015503
30,8.0,6,screen_passed,-300,NaN,14.303531169891357
31,8.0,7,screen_passed,-300,NaN,8.140085935592651
32,8.0,8,screen_passed,-300,NaN,5.7700371742248535
