method,bound,delta,outer_maxit,gamma_p,kappa,nStatus,R_mean,gravity_ok,theta_evals,feasible,infeasible,max_absR_seen,wall_s
baseline,upper,10.0,3,0.7967847467633487,0.31519274509964,-400,6.930902527751296e-5,true,5,4,1,4.836557789283788e137,30.258654832839966
gravityseed,upper,10.0,3,0.7968925956446664,0.3150382512022236,-400,0.00016232039977415958,true,5,4,1,2.1379743437938202e128,29.151854038238525
baseline,upper,10.0,3,0.7967847467633487,0.31519274509964,-400,6.930902527751296e-5,true,5,4,1,4.836557789283788e137,29.83779001235962
baseline,upper,10.0,15,0.6779129767590863,0.4768535945943133,-400,-0.0004878904451495968,true,82,16,66,2.1125208912756345e248,847.6312940120697
baseline,upper,10.0,3,0.8062294331884683,0.3016104244118012,-400,9.989787532120053e-5,true,5,4,1,7.172732955118707e272,119.44481611251831
baseline,upper,10.0,3,0.7967847462174951,0.3151927458815419,-400,6.931006564497878e-5,true,5,4,1,0.00025069622123502803,42.220892906188965
baseline,upper,10.0,15,0.6781068304990212,0.47660424215270036,-400,-0.0004892431898556618,true,76,16,60,0.0017278951365901954,841.1704061031342
gravityseed,upper,10.0,15,0.6725655622491118,0.48371317380024703,-400,-0.0006210063655953367,false,81,14,67,0.0017794392177166696,2690.4558169841766
