idx,t_elapsed,gp,Delta_dual,inner_status,feasible
1,1.0580461025238037,0.9778842786474965,0.05458184524561777,0,true
2,9.988548040390015,0.9670377105431471,0.4754149571124632,0,true
3,16.944961071014404,0.9660687097493386,0.5807282186374003,0,true
4,26.185006141662598,0.9602311021156378,0.8327860237894139,0,true
5,34.67937612533569,0.958108460317012,1.0661746530275662,0,false
6,43.13482594490051,0.9585594672279347,1.0023700130748396,0,false
7,49.00891613960266,0.9585742803856327,0.9995323916473383,0,true
8,55.33867406845093,0.958559616389272,1.0000975114165533,0,false
9,63.081465005874634,0.9565961318532737,1.1089315551724863,0,false
10,71.48522710800171,0.9572538940822423,1.0142931322342699,0,false
11,79.94292211532593,0.9573242816442594,1.002528604212888,0,false
12,88.3293719291687,0.9572829955872127,1.0009651566341697,0,false
13,97.51795101165771,0.9557047229332337,1.1231571211894422,0,false
14,105.94189095497131,0.9565122900817786,1.012322723815625,0,false
15,113.89277601242065,0.9565935655109733,1.0004094288672507,0,false
16,120.80731797218323,0.9565838688140161,1.001724697263608,0,false
17,130.21290397644043,0.9543891106959043,1.5218382675936146,0,false
18,139.85245394706726,0.9544489641776738,1.2248592705604928,0,false
19,167.91673302650452,0.9587486445421332,3.590567756500174,-100,false
20,174.49744606018066,0.9701739952759222,0.5384771562415647,0,true
21,212.06647205352783,0.9603577628883604,0.7229484126534839,0,true
22,242.95045614242554,0.9550373996519028,1.131621406748277,0,false
23,248.93056201934814,0.9576975812701316,0.871677195531744,0,true
24,262.2851951122284,0.9526278355091833,1.8779653989272171,0,false
25,268.91524505615234,0.9551627083896574,1.1141532947998625,0,false
26,274.9320831298828,0.9564301448298945,0.9725117452054216,0,true
27,283.9077341556549,0.953683925889222,1.3933234530994993,0,false
28,290.37934494018555,0.9550570353595583,1.1283136468252473,0,false
29,295.3855221271515,0.9557435900947264,1.0419355654459126,0,false
30,299.44818902015686,0.9560868674623104,1.0060425679985703,0,false
31,305.44675493240356,0.9568861815553605,0.9210426867086756,0,true
32,315.909255027771,0.955466106927631,1.0544702488579867,0,false
33,319.9062900543213,0.9559231719453539,0.9987777102410235,0,true
34,327.32049202919006,0.9557877781341091,1.0090808880020814,0,false
35,332.2830309867859,0.9558757476592872,0.9995770601839311,-101,true
36,340.7074329853058,0.9558661485974844,0.9993990024442825,0,true
37,347.1513469219208,0.9558576750353543,1.0001154867331412,0,false
38,350.164519071579,0.9558568929801081,1.0000274657809434,0,false
39,353.178729057312,0.9558619118164194,0.9997603880664163,0,true
40,359.6224989891052,0.9558469404405261,1.000239194492218,0,false
41,362.64504504203796,0.9558364659771365,0.9998844389575312,0,true
42,368.88907504081726,0.9558079037349476,1.000146410580556,0,false
43,371.9431080818176,0.9557834803546789,1.0003460694913322,0,false
44,374.9654550552368,0.9558221848560421,0.9997632532209467,0,true
45,381.2567479610443,0.9557618732421537,1.00091722332697,0,false
46,384.7486820220947,0.9557211567609015,1.0018336240627148,0,false
47,388.70833015441895,0.9557920290490979,1.000425631844724,0,false
48,392.19959807395935,0.95580710695257,1.0001039577951871,0,false
49,395.327840089798,0.955814645904306,0.9999485112114144,0,true
50,398.80120396614075,0.9557618453695537,1.0009268428382743,0,false
51,402.2967300415039,0.9557695994021733,0.9999907481221973,0,true
52,410.7816970348358,0.9556686266318967,1.0038283064784481,0,false
53,415.26118898391724,0.9555941851712151,1.0578660451336939,0,false
54,419.24767994880676,0.9557191130170349,1.001162748135528,0,false
55,422.2646930217743,0.9557443562096042,1.000434435067478,0,false
56,425.25842213630676,0.9557569778058888,1.0001474758513624,0,false
57,429.247976064682,0.9556686346467269,1.0038298065114573,0,false
58,433.72537207603455,0.9557005124111125,0.9998833203676407,-101,true
59,442.6143729686737,0.9545060370286701,1.1885772236891345,0,false
60,448.4967360496521,0.9568006405150029,0.9133349191719774,0,true
61,453.4600169658661,0.9551032747198913,1.051113646475349,0,false
62,457.46181297302246,0.9554018935655019,1.013817170195701,0,false
63,462.5050311088562,0.9555512029883072,1.0040366231753466,-101,false
