idx,t_elapsed,Delta_dual,inner_status,delta_feasible
1,1.549401044845581,0.2308841490034605,0,true
2,16.396777868270874,0.21457303566314562,0,true
3,24.172549962997437,0.21450876983637945,0,true
4,70.18053102493286,5.313582147104514,0,false
5,75.75031590461731,0.5637151603585451,0,true
6,81.34180092811584,0.2741541005729907,0,true
7,86.38933992385864,0.21600993390572124,0,true
8,91.57646894454956,0.20946000734480752,0,true
9,100.29272294044495,0.20411975205745014,0,true
10,108.44804286956787,0.20216260893035332,0,true
11,115.97453784942627,0.20116359854926982,0,true
12,125.79589104652405,0.19763984110000893,0,true
13,134.0518980026245,0.1975679408604145,0,true
14,143.76971888542175,0.1969965773688564,0,true
15,151.23839688301086,0.32191947658592196,0,true
16,156.67900896072388,0.23801236469957224,0,true
17,161.10995888710022,0.20757267227935347,0,true
18,165.54972791671753,0.199085850593687,0,true
19,170.07050895690918,0.19711538729490807,-101,true
20,174.5323770046234,0.19501116619088266,0,true
21,181.76050806045532,0.1941216728690758,0,true
22,190.42263102531433,0.19650846408178885,0,true
23,194.92316198349,0.19470366193994373,0,true
24,198.89864802360535,0.19529891421498707,0,true
25,202.90016102790833,0.1933759218640404,0,true
26,210.3957278728485,0.2164110029402268,0,true
27,215.79714488983154,0.1981774440075897,0,true
28,219.307697057724,0.1961145319642465,0,true
29,223.28288888931274,0.19395168435981985,0,true
30,226.83406496047974,0.1941104573205229,0,true
31,229.89738202095032,0.19295747818992467,0,true
32,238.4626338481903,0.19391133712485945,0,true
33,242.97740006446838,0.19450971446801574,0,true
34,246.49268984794617,0.19318522976775138,0,true
35,250.02707600593567,0.19397418494440188,0,true
36,253.0914568901062,0.19376803863575992,0,true
37,256.5973210334778,0.1937346869111657,0,true
38,260.1440210342407,0.19329481340989157,0,true
39,264.175500869751,0.1930033246630547,0,true
40,268.2453899383545,0.1929825264221822,0,true
41,270.7527449131012,0.1929290077887707,0,true
42,277.2808880805969,0.1933139318323188,0,true
43,280.7491600513458,0.1929986241559758,0,true
44,283.71755599975586,0.1930454805974257,0,true
45,288.1330440044403,0.1929880586651101,0,true
46,291.14312505722046,0.19291858743703605,0,true
47,299.0487129688263,0.192998724995651,-101,true
48,302.50995802879333,0.19303822792603398,0,true
49,305.9561970233917,0.1929801913199967,0,true
50,308.446485042572,0.19298944107425678,0,true
51,310.9788730144501,0.19299422925859233,0,true
52,318.32146096229553,0.1929966234733655,0,true
53,321.31149101257324,0.19291739107736222,0,true
54,327.7019190788269,0.19298944237429827,0,true
55,330.65136194229126,0.19299363136773756,0,true
56,332.67195105552673,0.1929957259582868,0,true
57,336.6183490753174,0.1929967732770242,-101,true
58,340.0889060497284,0.19291686775762928,0,true
59,347.2049808502197,0.1929936316165962,0,true
60,351.17565393447876,0.19299546425548303,0,true
61,354.7441599369049,0.19299638059288543,0,true
62,361.6500699520111,0.19299683876607532,0,true
63,366.19147992134094,0.1929166388220196,0,true
64,371.6265940666199,0.19299546430312184,0,true
65,374.1685218811035,0.19299626607387071,0,true
66,377.2205789089203,0.19299666696268936,0,true
67,379.3642349243164,0.19299686740795371,0,true
68,381.9714620113373,0.19299696763080182,0,true
69,384.54726004600525,0.19299701774228042,0,true
70,386.65585589408875,0.19299704279803104,0,true
71,389.7749469280243,0.19299705532591133,0,true
72,397.37355303764343,0.19299706158985117,-101,true
73,400.4361698627472,0.19291663569214035,0,true
74,409.44944286346436,0.19299704279803956,0,true
75,412.5170569419861,0.1929970537599292,0,true
76,414.5638790130615,0.19299705924087412,0,true
77,417.11613488197327,0.1929970619813483,0,true
78,420.16079807281494,0.19291663432281586,0,true
79,428.0096769332886,0.1929970537599296,0,true
80,431.56904792785645,0.1929970585557576,0,true
81,434.1136119365692,0.19299706095367045,0,true
82,437.6682159900665,0.1929166331246609,0,true
83,443.691281080246,0.19299705375992848,0,true
84,446.23507595062256,0.19299705795628033,0,true
85,449.24481892585754,0.1929970600544528,-101,true
86,451.2901990413666,0.1929970611035412,0,true
87,453.35640001296997,0.19299706162808536,0,true
88,456.8997850418091,0.19299706189035556,0,true
89,460.43345308303833,0.1929970620214924,-101,true
90,463.9766159057617,0.1929166330591366,0,true
91,469.8741500377655,0.19299706162808428,0,true
92,472.4025709629059,0.19299706185757268,0,true
93,474.4412670135498,0.19299706197231437,0,true
94,477.4737288951874,0.19299706202968803,0,true
95,480.51348400115967,0.19299706205837389,0,true
96,484.04775404930115,0.19291663304480225,0,true
97,492.0932409763336,0.19299706197231314,0,true
98,496.0668408870697,0.19299706202251568,0,true
99,498.58592987060547,0.1929970620476183,0,true
100,501.6016888618469,0.19291663303225948,0,true
101,507.11062598228455,0.19299706197231972,0,true
102,509.1923589706421,0.19299706201624411,0,true
103,511.7760109901428,0.19299706203820588,0,true
104,515.7943069934845,0.19299706204918596,0,true
105,521.7869188785553,0.19299706205467626,0,true
106,524.3402440547943,0.19299706205742334,0,true
107,527.3689680099487,0.19291663303088927,0,true
108,532.8168890476227,0.19299706204918632,0,true
109,534.8414599895477,0.19299706205398964,0,true
110,536.8678438663483,0.19299706205639344,0,true
111,539.879832983017,0.1929970620575912,0,true
112,542.4269938468933,0.1929970620581971,0,true
113,544.9567370414734,0.19291663303058806,0,true
114,550.913959980011,0.1929970620563942,0,true
115,553.4339530467987,0.1929970620574456,0,true
116,555.4680869579315,0.19299706205796713,0,true
117,559.0004589557648,0.19299706205823203,0,true
118,560.5676169395447,0.1929970620583633,0,true
119,563.1222019195557,0.19291663303052292,0,true
