delta,wall_total_real_run,n_eval,n_grad_calls,native_ga_evals,n_captured_grad_states,t_cplus_total_replay,t_buffered_total_replay,max_absdiff_replay
0.1,138.1497209072113,10.0,6.0,6.0,6.0,23.791835591,97.09310687899998,1.880440247958859e-13
1.0,128.47742986679077,10.0,7.0,7.0,7.0,26.294061426,104.17138337400002,9.381384558082573e-13
