tag,reported_Delta,cold_Delta_dual,kappa,gravity_residual,class,inner_status,primal_dual_gap,max_abs_moment_kkt_resid,mean_m_resid,m_max,wall_cold_verify,context_fingerprint,n_eval_at_checkpoint,checkpoint_reason
control,0.9013958544463128,0.9013958544463094,0.05170901543137896,4.054102973466422e-18,VerifiedSolved,0,1.1435297153639112e-14,4.159712574391961e-14,4.440892098500626e-16,134.31430769130617,49.22831320762634,95d6260a565d671e6aa71dd1d1c2b6c29eb6d550a946ff84928e28a7d4815d90,4,new_best
interrupt_then_resumed,0.00878804666675019,0.008788046666750197,0.0203135174923732,6.361827297601819e-18,VerifiedSolved,0,8.847089727481716e-17,5.786304768662376e-15,2.220446049250313e-16,3.207434713522819,32.43244218826294,95d6260a565d671e6aa71dd1d1c2b6c29eb6d550a946ff84928e28a7d4815d90,2,wall_interval
