base_point,delta_frontier,class,coord,h_prod,step_scale,h_actual,flips_at_hprod,true_secant,fixed_dual_secant_ref,fixed_dual_secant_C,sign_convention,C_vs_ref_absdiff,C_vs_ref_sign_agree,ref_vs_true_abserr,ref_vs_true_relerr_excl_nearzero,ref_vs_true_sign_agree,C_err_le_ref_err_vs_true
baseA,1.0,high_switch,247,0.1,2.0,0.2,370,-0.004903107343961766,-0.0022838208717773645,-0.0022838208717768094,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.002619286472184401,0.5342094897045407,1,1
baseA,1.0,high_switch,123,0.1,0.5,0.05,49,0.0007780824777869899,0.0006765676070108473,0.0006765676070119575,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.1102230246251565e-15,1,0.00010151487077614263,,1,1
baseA,1.0,high_switch,123,0.1,1.0,0.1,102,0.000859661862863681,0.0006191935346377964,0.0006191935346372412,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.0002404683282258846,,1,1
baseA,1.0,high_switch,123,0.1,2.0,0.2,208,0.0008675417487538639,0.0007265103884321333,0.0007265103884321333,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.00014103136032173058,,1,1
baseB,2.0,optimizer,128,0.04,0.5,0.02,336,-0.646395279692169,-0.6471309132886821,-0.6471309132886655,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.6653345369377348e-14,1,0.0007356335965130745,0.0011380553349080815,1,1
baseB,2.0,optimizer,128,0.04,1.0,0.04,627,-0.6430033429876386,-0.6432946905569905,-0.6432946905569809,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,9.658940314238862e-15,1,0.0002913475693518963,0.00045310428402780065,1,1
baseB,2.0,optimizer,128,0.04,2.0,0.08,1176,-0.6392423394405017,-0.6397807657055242,-0.6397807657055277,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,3.4416913763379853e-15,1,0.0005384262650225402,0.0008422881774286088,1,1
baseB,2.0,random_tangent,13,0.1,0.5,0.05,9,0.0032381467657083274,0.004693071750523359,0.004693071750523359,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0014549249848150314,0.4493079190302773,1,1
baseB,2.0,random_tangent,13,0.1,1.0,0.1,19,0.0025800584714330554,0.003336801900478692,0.003336801900478137,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.0007567434290456365,0.2933047593395488,1,1
baseB,2.0,random_tangent,13,0.1,2.0,0.2,35,0.002075960682340894,0.002700384704644454,0.002700384704644454,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0006244240223035602,0.3007879810129388,1,1
baseB,2.0,random_tangent,212,0.08,0.5,0.04,338,0.1630459125235184,0.16376463731194862,0.16376463731195418,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-15,1,0.0007187247884302139,0.004408112888610698,1,1
baseB,2.0,random_tangent,212,0.08,1.0,0.08,671,0.15624777772341308,0.15765199029594557,0.1576519902959428,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-15,1,0.0014042125725324817,0.008987088283701499,1,1
baseB,2.0,random_tangent,212,0.08,2.0,0.16,1323,0.16257115341574943,0.16016406498895983,0.1601640649889612,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.3877787807814457e-15,1,0.0024070884267896053,0.014806368634377995,1,1
