tag,hash_w_terminal,hash_w_best,reported_Delta_schema1,fresh_neg_zeta_star,cold_Delta_dual,cold_Delta_dual_start2,mean_Psi_qstar,m_max,tail_frac_m_gt_e,inner_status,primal_dual_gap,max_abs_moment_kkt_resid,mean_m_resid,feasible_at_caller_delta,context_compat_all_match,classification
control,12f3d915def058c9dbb032fcb0af0a792a18ae21bc9a16d9db5e18a2080e43f3,12f3d915def058c9dbb032fcb0af0a792a18ae21bc9a16d9db5e18a2080e43f3,0.8025018742522267,0.8025018742522274,0.6266708456751989,0.6266708456752006,0.17583102857702848,94.30087379829259,0.048625,0,3.1086244689504383e-15,3.0820501706330107e-14,1.1102230246251565e-15,true,true,"old checkpoint stored -zeta_star, and the F1 identity (mean(Psi(q*))) fully explains the discrepancy"
interrupt_then_resumed,988dc8e6ef799b43cd3673313de02aec41751647243c5dfbb9e0341b27ef05ad,988dc8e6ef799b43cd3673313de02aec41751647243c5dfbb9e0341b27ef05ad,0.21311465244991357,0.2131146524499133,0.18315197169632164,0.18315197169632186,0.02996268075359165,44.37411457160151,0.011425,0,2.7755575615628914e-16,1.801936377887614e-14,2.220446049250313e-16,true,true,"old checkpoint stored -zeta_star, and the F1 identity (mean(Psi(q*))) fully explains the discrepancy"
