j,beta_j,s_c_j,s_p_j,s_r_j,paired_corr,residual_to_original_rms_ratio,degenerate
1,-1.030652687995509,0.42389857277419557,0.4533581788252991,0.12107370010609284,-0.963679986096689,0.26705970193326634,false
2,-1.0315118017375713,0.42340288142618965,0.45321733131238184,0.1210772234382562,-0.9636548271799867,0.26715047080757653,false
3,-1.0321430306303716,0.4219715630229127,0.45215143754867787,0.1214503164769868,-0.9632503000754365,0.26860539719927723,false
4,-1.0290905194699134,0.42223216362565275,0.4511956834220796,0.12154899498842249,-0.9630303049596176,0.2693930803294436,false
5,-1.0303886059005989,0.42096318128786514,0.4503581531714636,0.12115481324460337,-0.9631349237226794,0.2690188073457092,false
6,-1.0310626205249815,0.42382779521876573,0.4534522386100915,0.12106218694442111,-0.9637023703511617,0.26697891560861486,false
7,-1.0306189435202717,0.4227410554937857,0.452263491105384,0.12132970966674499,-0.9633431584998954,0.2682721733080891,false
8,-1.0318619587062725,0.4247705262844869,0.4547597781781563,0.12122532617541201,-0.9638155533642975,0.2665700266216615,false
9,-1.0300243895410326,0.42369800565969157,0.45285982413811576,0.12091415420115596,-0.9636961734461017,0.2670012833027972,false
10,-1.0315247434781103,0.42223216362565275,0.4521433829960527,0.12139192684677072,-0.9632849681136687,0.2684810425453699,false
11,-1.0310858516710877,0.4244761477397758,0.4541637243268033,0.12127851258746088,-0.9636862806581034,0.26703698708484325,false
12,-1.0317209201762125,0.4216159389776435,0.4514864663289979,0.12092866758113963,-0.9634618465085846,0.2678456091151556,false
13,-1.031559842319998,0.4219597137168429,0.4519131853744443,0.12148960965749415,-0.9631865363398907,0.26883395658577836,false
14,-1.0303359326531032,0.4243936851556583,0.45380512221248437,0.1213908137818919,-0.9635591182291707,0.2674954685175486,false
15,-1.030329861387506,0.42149733095240355,0.45090667418685315,0.12131196543074298,-0.9631289830840472,0.269040074976739,false
16,-1.0310249267381377,0.42223216362565275,0.4519187555360878,0.12131245200948061,-0.9632967878312827,0.26843863088969155,false
17,-1.0306219896541935,0.4223505652890736,0.451806752336422,0.12106763558776489,-0.9634291158306539,0.2679633160896545,false
18,-1.0300207783020792,0.42498235257478634,0.4542407306411029,0.12131678198403274,-0.9636754787399072,0.26707596611340767,false
19,-1.0314449473435905,0.42209003778814774,0.45192355911432036,0.12121995611507065,-0.9633545939801716,0.26823110605837297,false
20,-1.012638400772713,0.5551936599061629,0.570168817710977,0.0949311564290106,-0.986042032504687,0.16649657694386916,false
21,-1.0129444566844814,0.5533534132902769,0.568524433725464,0.09508701234175501,-0.9859141302104385,0.16725228803037123,false
22,-1.0130573455062069,0.5536424839189998,0.5688766348622942,0.09509832122057374,-0.9859283203892049,0.16716861862958007,false
23,-1.0116981143198769,0.5533985905294664,0.5679484496451273,0.09543813379904859,-0.9857801546174928,0.1680401343795928,false
24,-1.0120287559110015,0.5513438128790419,0.5660254543726059,0.09512007881292392,-0.9857786230579977,0.16804911877745313,false
25,-1.0122513142697458,0.5528652638753858,0.567634971734217,0.09494266559305155,-0.9859128098858364,0.16726007085678019,false
26,-1.0119267714875757,0.5529737787635143,0.5675801184432091,0.09502503841038486,-0.985885432696736,0.1674213654118557,false
27,-1.0131624358216953,0.5552566973931967,0.5705354911554448,0.09503215703874325,-0.986030206285498,0.1665666001711563,false
28,-1.0122546838536386,0.5534166603925111,0.5681861020739164,0.09493665123552021,-0.9859421139661747,0.16708724639514277,false
29,-1.0122594827901141,0.5521865626760579,0.5670052878203022,0.09520027414657592,-0.9858040063204208,0.1679001522411678,false
