label,median_s,min_s,mean_s,speedup_vs_full,nthreads
full_rebuild (fixed_dual_L, baseline),0.375296874,0.273837097,0.4117686204,1.0,2
block_local (Tier 1),0.138372888,0.121612391,0.15682876175,2.7122139273410264,2
incremental (Tier 2),0.076314907,0.049313031,0.08227930555,4.917740042584341,2
incremental_o1 (Tier 3),0.047099722,0.035508663,0.045999487049999996,7.968133527412328,2
incremental_o1_threaded (nthreads=2),0.028369557,0.018893102,0.02799255035,13.228859160543113,2
