label,median_s,min_s,mean_s,speedup_vs_full,nthreads
full_rebuild (fixed_dual_L, baseline),0.359443334,0.244540056,0.34529450685,1.0,16
block_local (Tier 1),0.163499561,0.130241141,0.18129466389999999,2.1984360802045213,16
incremental (Tier 2),0.066432733,0.056964567,0.0721200151,5.41063595863202,16
incremental_o1 (Tier 3),0.067846823,0.038108696,0.06314008734999998,5.297865369466158,16
incremental_o1_threaded (nthreads=16),0.008625465,0.00527553,0.010800657449999999,41.672342766447954,16
