label,median_s,min_s,mean_s,speedup_vs_full,nthreads
full_rebuild (fixed_dual_L, baseline),0.349291243,0.245684564,0.35629485794999993,1.0,4
block_local (Tier 1),0.153185002,0.127593404,0.1695024288,2.2801921757327133,4
incremental (Tier 2),0.060794165,0.052269464,0.06694817904999999,5.745473155195075,4
incremental_o1 (Tier 3),0.046930207,0.034447436,0.0550567088,7.442780787223034,4
incremental_o1_threaded (nthreads=4),0.023916025,0.019607866,0.0271361782,14.604903741319887,4
