component,label,n,median_s,min_s,max_s,mean_s
pairwise_M_build,x,3,0.06744980812072754,0.06552720069885254,0.0833590030670166,0.0721120039621989
compute_a_od,x,8,1.1920928955078125e-5,1.0013580322265625e-5,3.0994415283203125e-5,1.3887882232666016e-5
pairwise_certificate,x,8,2.7894973754882812e-5,2.5033950805664062e-5,4.696846008300781e-5,3.0994415283203125e-5
order_destinations,x,8,2.9087066650390625e-5,2.6941299438476562e-5,5.1021575927734375e-5,3.11434268951416e-5
screen_hard_winners_feasible,x,8,0.270798921585083,0.252147912979126,0.32290196418762207,0.27548038959503174
dense_value_reference,x,8,1.964102029800415,1.9555740356445312,2.1061289310455322,1.9920508563518524
