h_mode,generic_min_s,generic_mean_s,top3_min_s,top3_mean_s,speedup_min
fixed,3.380370857,3.5850929896666663,2.922848265,2.9347538466666667,1.156533131561655
adaptive,6.734358091,6.800101057333333,4.895526872,4.975415215333332,1.3756145696017335
