point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
upper_candidate,20000,plain,1,2000001001,false,true,0,400,1.3545808157712091,0.006735086441040039,11.083241939544678
upper_candidate,20000,plain,2,2000002001,false,true,0,400,0.5984468724597178,0.0485539436340332,3.5590710639953613
upper_candidate,20000,plain,3,2000003001,false,true,0,400,0.1151018814671616,0.007350921630859375,4.396077871322632
upper_candidate,20000,plain,4,2000004001,false,true,0,400,0.04426362709451226,0.005308866500854492,2.35929799079895
upper_candidate,20000,plain,5,2000005001,false,true,0,400,0.3069365759449614,0.005642890930175781,5.645666837692261
upper_candidate,20000,plain,6,2000006001,false,true,0,400,1.0141926353696338,0.005380868911743164,4.013351917266846
upper_candidate,20000,plain,7,2000007001,false,true,0,400,0.39999088520906767,0.005496978759765625,3.1421420574188232
upper_candidate,20000,plain,8,2000008001,true,false,1,400,-0.1331609929698736,0.0052258968353271484,2.3774709701538086
upper_candidate,20000,plain,9,2000009001,false,true,0,400,0.01422428229612116,0.005262136459350586,2.2903168201446533
upper_candidate,20000,plain,10,2000010001,false,true,0,400,1.3282406542621032,0.006073951721191406,4.436583042144775
upper_candidate,20000,plain,11,2000011001,true,false,1,400,-0.30357964471232535,0.005497932434082031,2.3015248775482178
upper_candidate,20000,plain,12,2000012001,true,false,2,400,-0.33986808998128737,0.0053479671478271484,3.628537893295288
upper_candidate,20000,plain,13,2000013001,false,true,0,400,0.914941986446367,0.008342981338500977,4.79339599609375
upper_candidate,20000,plain,14,2000014001,false,true,0,400,0.7193825798208362,0.005622148513793945,4.497525930404663
upper_candidate,20000,plain,15,2000015001,false,true,0,400,0.6565121598419559,0.005255937576293945,5.756385087966919
upper_candidate,20000,stratified,1,2000001002,false,true,0,400,0.6254663603971444,0.054731130599975586,16.393747091293335
upper_candidate,20000,stratified,2,2000002002,true,false,1,400,-0.11776269489299196,0.02136397361755371,2.33479380607605
