idx,kind,gamma_focal_prime,Delta,feasible,inner_status,gravity_value
1,F,0.9609650007465946,0.0010029941762691274,true,0,-6.992571199895687e-18
2,F,0.9863165302194051,0.25563467289610753,true,0,-5.530066354386513e-18
3,F,0.999379255374058,4.226504270327116,false,0,-8.28652332298882e-18
4,F,0.9928478927967316,0.5493209594670023,true,0,-4.2452232525201465e-18
5,F,0.9981800030102513,1.7282440649977162,false,0,-7.411114772001501e-18
6,F,0.9938000604331474,0.6305556743508732,true,0,-3.772684747070654e-18
7,F,0.9965338795997214,1.0400883420209979,false,0,-6.427709520239258e-18
8,F,0.9951130845045517,0.7762773033714019,true,0,-6.61913896631873e-18
9,F,0.996616702925418,1.0610234988265947,false,0,-3.838753316956489e-18
10,F,0.9958354356582084,0.8909670391188395,true,0,-8.632112765468575e-18
11,F,0.9964307447304742,1.011687429684987,false,0,-2.0784070943252395e-18
12,F,0.9962577053426415,0.9703635767698348,true,0,-4.845875491241852e-18
13,F,0.9999812885267132,NaN,false,-300,NaN
14,F,0.9981194969346774,1.9300661078802914,false,0,-8.72782748850831e-18
15,F,0.9966836067898527,2.2235464305336707,false,0,-5.637851296924623e-18
16,F,0.9971886011386594,1.2322149749943478,false,0,-3.781155076543197e-18
17,F,0.9967969040464292,1.2163262051890964,false,0,-8.05020113070487e-18
18,F,0.9967231532406504,1.0676385283784722,false,0,-2.439454888092385e-18
19,F,0.9965776647637367,1.1000528143773585,false,0,-5.8140341499535175e-18
20,F,0.996490429291646,0.9867854497002647,true,0,-4.208059681959364e-18
21,F,0.9965756781212958,0.9976906995881241,true,0,-2.710505431213761e-18
22,F,0.9966030116355591,1.002200692313469,false,0,-2.371692252312041e-18
23,F,0.9966169611938396,0.9977053770213007,true,0,-5.6505567911334376e-18
24,F,0.9966857184733631,1.0176594959379792,false,0,-8.575361558002537e-18
25,F,0.9966093938844256,1.0020345614926183,false,0,-3.2017845406212553e-18
26,F,0.9966513398336013,1.0161803409923993,false,0,-3.647323870877017e-18
27,F,0.9966341505137204,1.0035421060905931,false,0,-8.496587493907887e-18
28,F,0.99662555585378,1.0025560857034927,false,0,-2.8549245487206193e-18
29,F,0.9966844076523727,1.0229891586621676,false,0,-4.263963856478148e-18
30,F,0.9966226185603914,0.9958152242010756,true,0,-7.440337408681774e-18
31,F,0.9967815053589278,1.0936335199650566,false,0,-8.646512325571898e-18
32,F,0.996468732133949,1.0585154491826048,false,0,-6.8575787409708155e-18
33,F,0.9967020619596596,1.0544631389506318,false,0,-5.488773498207866e-18
34,F,0.9966623402600255,0.9878745366282072,true,0,-7.785926851161529e-18
35,F,0.9967199661530631,0.9964825760415563,true,0,-7.284483346386983e-18
36,F,0.9968328267138707,1.1508004269523453,false,0,-4.1669785840175305e-18
