stage,rho,gp,kappa,Delta_smoothed,gravity_value,grad_relerr,entropy_mean,entropy_max_possible,frac_boundary,n_outer_iters,n_eval,wall_seconds,hessopt_fallback_detected,knitro_status,opt_err
1,0.16890523551896602,0.8966754102669956,0.16620599743722186,NaN,2.5316540935287705e-18,NaN,0.7661327939936883,1.3862943611198906,0.99215625,15,17,8.070717096328735,false,-410,1.000000002361825
2,0.02799053946886355,0.8924998531927859,0.172667175044664,NaN,-1.8599057066414948e-18,NaN,0.1424435360141722,1.3862943611198906,0.3539375,12,14,3.4728200435638428,false,-200,1.0000000010299712
3,0.005393329724008569,0.8925019027690724,0.17266400850252406,NaN,-8.569309904641099e-19,NaN,0.026772235720438176,1.3862943611198906,0.07328125,12,14,4.32427716255188,false,-200,1.0000000010298815
4,0.002711567930260599,0.8924998531768901,0.1726671750692227,NaN,-5.177088952506658e-19,NaN,0.013362974476515393,1.3862943611198906,0.037,12,14,4.56554102897644,false,-200,1.0000000010299712
5,4.6038029742900833e-7,0.9155905458202547,0.13668590274063008,NaN,6.217486530642581e-19,NaN,2.4336907277503817e-9,1.3862943611198906,0.0,13,15,6.434273958206177,false,-200,1.0
