g,knitro_status,wall,n_eval,best_Delta,Delta_minus_delta,best_gravity,best_kkt
0.8527667963635073,0,0.027647018432617188,1,NaN,NaN,NaN,NaN
0.8607406287836648,0,0.03303098678588867,1,NaN,NaN,NaN,NaN
0.8687144612038222,0,0.03218507766723633,1,NaN,NaN,NaN,NaN
0.8766882936239796,0,0.03843283653259277,1,NaN,NaN,NaN,NaN
0.8846621260441371,-101,4.548308849334717,152,1.4768782470554238,0.4768782470554238,-4.87890977618477e-18,6.052403023204534e-13
0.8926359584642946,-101,12.553401947021484,67,0.9999924057789025,-7.5942210975288305e-6,-3.577867169202165e-18,6.801670338063559e-15
0.9141087667714356,-101,8.890764951705933,307,0.37684323851607504,-0.623156761483925,-5.570088661144279e-18,2.8821389719269065e-16
0.9355815750785768,-102,2.83080792427063,84,0.0972719887142368,-0.9027280112857632,-3.1374100366299285e-18,1.0658141036401502e-16
0.9570543833857178,-101,4.039427995681763,119,0.0021454407129571093,-0.9978545592870429,-7.535205098774256e-18,2.19824158875781e-17
0.978527191692859,-102,7.165148019790649,272,0.07334003800689659,-0.9266599619931034,-2.290377089375628e-18,1.8718360195180139e-16
1.0,0,0.45742297172546387,1,NaN,NaN,NaN,NaN
