point,tol,start,kappa,Delta_dual,Delta_primal,primal_dual_gap,Delta_minus_delta,gravity_value,max_abs_moment_resid,max_abs_moment_kkt_resid,mean_m_resid,weight_norm_resid,inner_status,winner_hash,m_min,m_max,m_mean
lfixcomposite_sr1_best_feasible,tight_1e-12,cold,0.17245688540655113,0.9999924057789026,0.9999924057789024,2.220446049250313e-16,-7.594221097417808e-6,-3.577867169202165e-18,0.4258564120541665,1.3500311979441903e-16,1.1102230246251565e-16,1.1102230246251565e-16,0,8533381067197814296,4.834947725557891e-10,29.97475709606911,0.9999999999999999
lfixcomposite_sr1_best_feasible,tight_1e-12,warm,0.17245688540655113,0.9999924057789026,0.9999924057789024,2.220446049250313e-16,-7.594221097417808e-6,-3.577867169202165e-18,0.4258564120541665,1.3500311979441903e-16,1.1102230246251565e-16,1.1102230246251565e-16,0,8533381067197814296,4.834947725557891e-10,29.97475709606911,0.9999999999999999
lfixcomposite_sr1_best_feasible,loose_1e-08,cold,0.17245688540655113,0.9999924057789026,0.999992405756996,2.19065876549962e-11,-7.594221097417808e-6,-3.577867169202165e-18,0.4258564120541665,6.1966494158127714e-12,6.381783990150325e-12,2.220446049250313e-16,0,8533381067197814296,4.834947731498018e-10,29.97475709556214,1.0000000000063818
lfixcomposite_sr1_best_feasible,loose_1e-08,warm,0.17245688540655113,0.9999924057789026,0.999992405756996,2.19065876549962e-11,-7.594221097417808e-6,-3.577867169202165e-18,0.4258564120541665,6.1966494158127714e-12,6.381783990150325e-12,2.220446049250313e-16,0,8533381067197814296,4.834947731498018e-10,29.97475709556214,1.0000000000063818
maxit40_best_feasible (for comparison),tight_1e-12,cold,0.17176461388430053,0.9987689551138884,0.9987689551138874,9.992007221626409e-16,-0.0012310448861115875,-4.228388472693467e-18,0.43802020521993357,1.3500311979441903e-16,4.440892098500626e-16,0.0,0,5556591714625157267,1.523978082586316e-11,33.29662774280792,1.0000000000000004
maxit40_best_feasible (for comparison),tight_1e-12,warm,0.17176461388430053,0.9987689551138884,0.9987689551138874,9.992007221626409e-16,-0.0012310448861115875,-4.228388472693467e-18,0.43802020521993357,1.3500311979441903e-16,4.440892098500626e-16,0.0,0,5556591714625157267,1.523978082586316e-11,33.29662774280792,1.0000000000000004
maxit40_best_feasible (for comparison),loose_1e-08,cold,0.17176461388430053,0.9987689551138885,0.9987689551086265,5.262013047513392e-12,-0.0012310448861114764,-4.228388472693467e-18,0.43802020521993357,1.5419043819520084e-12,1.5865087021893487e-12,0.0,0,5556591714625157267,1.523978083077676e-11,33.29662774264853,1.0000000000015865
maxit40_best_feasible (for comparison),loose_1e-08,warm,0.17176461388430053,0.9987689551138885,0.9987689551086265,5.262013047513392e-12,-0.0012310448861114764,-4.228388472693467e-18,0.43802020521993357,1.5419043819520084e-12,1.5865087021893487e-12,0.0,0,5556591714625157267,1.523978083077676e-11,33.29662774264853,1.0000000000015865
