radius,dir_idx,sign,gp,Delta,feasible,improved
0.0001,1,1.0,0.8927359584642945,0.9955195597002985,true,false
0.0001,1,-1.0,0.8925359584642946,1.0045090572752893,false,false
0.0001,2,1.0,0.8926359584642946,0.999983464837691,true,false
0.0001,2,-1.0,0.8926359584642946,0.999995848902379,true,false
0.0001,3,1.0,0.8926359584642946,0.999990498009919,true,false
0.0001,3,-1.0,0.8926359584642946,0.9999888073411125,true,false
0.0001,4,1.0,0.8926359584642946,0.9999903075744625,true,false
0.0001,4,-1.0,0.8926359584642946,0.9999946696837141,true,false
0.0001,5,1.0,0.8926359584642946,0.999992862480012,true,false
0.0001,5,-1.0,0.8926359584642946,0.9999919552731082,true,false
0.0001,6,1.0,0.8926359584642946,0.999969337289659,true,false
0.0001,6,-1.0,0.8926359584642946,1.0000154792129863,false,false
0.0001,7,1.0,0.8926359584642946,1.000057980268016,false,false
0.0001,7,-1.0,0.8926359584642946,0.9999269180491116,true,false
0.0001,8,1.0,0.8926359584642946,0.9999727731710043,true,false
0.0001,8,-1.0,0.8926359584642946,1.0000120428751804,false,false
0.0001,9,1.0,0.8926359584642946,0.9999744609038698,true,false
0.0001,9,-1.0,0.8926359584642946,1.000010352754418,false,false
0.0001,10,1.0,0.8926359584642946,0.9999957969861069,true,false
0.0001,10,-1.0,0.8926359584642946,0.9999891414443832,true,false
0.0001,11,1.0,0.8926359584642946,0.9999933064784329,true,false
0.0001,11,-1.0,0.8926359584642946,0.9999915283412395,true,false
0.0001,12,1.0,0.8926359584642946,0.9999990527762813,true,false
0.0001,12,-1.0,0.8926359584642946,0.9999861345747726,true,false
0.0001,13,1.0,0.8926359584642946,0.9999931958964657,true,false
0.0001,13,-1.0,0.8926359584642946,0.9999916209138087,true,false
0.0001,14,1.0,0.8926359584642946,0.9999934342774496,true,false
0.0001,14,-1.0,0.8926359584642946,0.9999913822371538,true,false
0.0001,15,1.0,0.8926359584642946,0.9999917711006002,true,false
0.0001,15,-1.0,0.8926359584642946,0.9999930417644075,true,false
0.0001,16,1.0,0.8926359584642946,0.9999934368845356,true,false
0.0001,16,-1.0,0.8926359584642946,0.9999913783362049,true,false
0.0001,17,1.0,0.892607299738279,1.0013088043425837,false,false
0.0001,17,-1.0,0.8926646171903101,0.9986799068721702,true,false
0.0001,18,1.0,0.8926340260190366,1.000058648332578,false,false
0.0001,18,-1.0,0.8926378909095525,0.9999261823937515,true,false
0.0001,19,1.0,0.8926387070043987,0.9998932462422307,true,false
0.0001,19,-1.0,0.8926332099241904,1.000091679152562,false,false
0.0001,20,1.0,0.8926340822089799,1.0000977858879976,false,false
0.0001,20,-1.0,0.8926378347196092,0.9998870738266825,true,false
0.0001,21,1.0,0.8926411685467325,0.9997687284883335,true,false
0.0001,21,-1.0,0.8926307483818566,1.0002162972504736,false,false
0.0001,22,1.0,0.8926546292388828,0.9991926522125321,true,false
0.0001,22,-1.0,0.8926172876897063,1.0007935846433353,false,false
0.0001,23,1.0,0.8926039531889767,1.0014323306823614,false,false
0.0001,23,-1.0,0.8926679637396124,0.9985512457495656,true,false
0.0001,24,1.0,0.8926283609314392,1.0003514559945175,false,false
0.0001,24,-1.0,0.89264355599715,0.9996336377383066,true,false
0.0001,25,1.0,0.8926359559195413,0.9999825465034728,true,true
0.0001,25,-1.0,0.8926359610090479,1.000002291465573,false,false
0.0001,26,1.0,0.8926484075683765,0.9994028913477276,true,false
0.0001,26,-1.0,0.8926235093602126,1.0005827785681032,false,false
0.0001,27,1.0,0.8926444913895624,0.9995857500718891,true,false
0.0001,27,-1.0,0.8926274255390267,1.0003994682171293,false,false
0.0001,28,1.0,0.8926842629572196,0.9978217548157274,true,false
0.0001,28,-1.0,0.8925876539713695,1.0021733574102378,false,false
0.0001,29,1.0,0.8926490752689104,0.9994356506360765,true,false
0.0001,29,-1.0,0.8926228416596788,1.0005498584830983,false,false
0.0001,30,1.0,0.8926160890432764,1.0008934155703004,false,false
0.0001,30,-1.0,0.8926558278853127,0.9990931552478958,true,false
0.0001,31,1.0,0.8926554487298025,0.999128883876886,true,false
0.0001,31,-1.0,0.8926164681987866,1.0008578039161968,false,false
0.0001,32,1.0,0.8926542808139162,0.999162115551112,true,false
0.0001,32,-1.0,0.8926176361146729,1.0008242268111966,false,false
0.0001,33,1.0,0.8926458518211439,0.9995341756816007,true,false
0.0001,33,-1.0,0.8926260651074452,1.0004511144091626,false,false
0.0001,34,1.0,0.8926638570814991,0.9987542690309679,true,false
0.0001,34,-1.0,0.89260805984709,1.0012339344531929,false,false
0.0001,35,1.0,0.8926345658256273,1.0000675550848759,false,false
0.0001,35,-1.0,0.8926373511029618,0.9999172912323898,true,false
0.0001,36,1.0,0.8926841972439242,0.9978280938891179,true,false
0.0001,36,-1.0,0.8925877196846649,1.0021669263839157,false,false
0.001,1,1.0,0.8936359584642946,0.9570887118970098,true,false
0.001,1,-1.0,0.8916359584642946,1.0473083866368647,false,false
0.001,2,1.0,0.8926359584642946,0.9999554769622095,true,false
0.001,2,-1.0,0.8926359584642946,1.0000412863657575,false,false
0.001,3,1.0,0.8926359584642946,0.999974846559847,true,false
0.001,3,-1.0,0.8926359584642946,1.0000080842796486,false,false
0.001,4,1.0,0.8926359584642946,0.9999809834026493,true,false
0.001,4,-1.0,0.8926359584642946,1.0000217092943227,false,false
0.001,5,1.0,0.8926359584642946,0.999997251533291,true,false
0.001,5,-1.0,0.8926359584642946,0.9999881795563987,true,false
0.001,6,1.0,0.8926359584642946,1.0004682163288496,false,false
0.001,6,-1.0,0.8926359584642946,1.000227351775278,false,false
0.001,7,1.0,0.8926359584642946,1.0006520574731588,false,false
0.001,7,-1.0,0.8926359584642946,1.0004286866273129,false,false
0.001,8,1.0,0.8926359584642946,0.9998002863701498,true,false
0.001,8,-1.0,0.8926359584642946,1.0001889787873295,false,false
0.001,9,1.0,0.8926359584642946,1.000198951080913,false,false
0.001,9,-1.0,0.8926359584642946,1.0001719700883382,false,false
0.001,10,1.0,0.8926359584642946,1.0000319843150651,false,false
0.001,10,-1.0,0.8926359584642946,0.9999868191049501,true,false
0.001,11,1.0,0.8926359584642946,1.000100495980112,false,false
0.001,11,-1.0,0.8926359584642946,0.999984678466462,true,false
0.001,12,1.0,0.8926359584642946,1.0000605573165613,false,false
0.001,12,-1.0,0.8926359584642946,1.000032606593127,false,false
0.001,13,1.0,0.8926359584642946,1.0000005432872372,true,false
