kind,idx,slope_central,slope_right,slope_left,predicted_from_h01_grad,actual_minus_predicted,ok_plus,ok_minus,winner_switch_plus,winner_switch_minus
random,1,13.14470631328874,15.308363847456253,10.981048779121227,24.355673250192403,-11.210966936903663,true,true,true,true
random,2,0.8711135146728166,0.9845994179981887,0.7576276113474445,1.6390934522602785,-0.7679799375874619,true,true,true,true
random,3,-1.2936444995074625,-1.2015006595555433,-1.3857883394593817,-2.3796742433121896,1.086029743804727,true,true,true,true
random,4,0.7996807785675297,0.9064951644954244,0.692866392639635,1.6038036704910779,-0.8041228919235481,true,true,true,true
random,5,-2.3774036122821696,-2.1177045875842793,-2.63710263698006,-4.449768760802334,2.072365148520164,true,true,true,true
random,6,-8.61814853119635,-7.852948558928907,-9.383348503463795,-15.959543249967801,7.341394718771451,true,true,true,true
random,7,14.987119166533436,17.523997041204098,12.450241291862774,27.30675577204281,-12.319636605509373,true,true,true,true
random,8,3.348627547407762,3.5383345386203024,3.1589205561952216,6.4588655732268805,-3.1102380258191187,true,true,true,true
random,9,0.03530421803747963,0.1138742321971642,-0.043265796122204936,0.061072886367417555,-0.025768668329937926,true,true,true,true
random,10,-5.633006591814765,-5.21464687748685,-6.05136630614268,-10.608070589581512,4.975063997766747,true,true,true,true
random,11,-3.7911473363742787,-3.5637844899090942,-4.018510182839463,-7.275818186852454,3.484670850478175,true,true,true,true
random,12,-24.00913193656561,-17.60307168297449,-30.415192190156723,-41.11047952474166,17.101347588176054,true,true,true,true
random,13,-5.953069954444884,-5.560412111244406,-6.345727797645361,-11.19161488358582,5.238544929140935,true,true,true,true
random,14,9.024877727698449,9.97675219449473,8.073003260902167,16.94672507424421,-7.921847346545761,true,true,true,true
random,15,-8.967143314208242,-7.952760947571447,-9.981525680845039,-16.66685242475646,7.699709110548218,true,true,true,true
random,16,-8.338191642333003,-7.483923707994433,-9.192459576671574,-15.623798236771899,7.285606594438896,true,true,true,true
random,17,-4.406637307246547,-4.088023036470356,-4.725251578022737,-8.417480766023159,4.010843458776612,true,true,true,true
random,18,-12.906330613773854,-11.058295430329201,-14.754365797218504,-23.69596528363088,10.789634669857026,true,true,true,true
random,19,0.6253481593489485,0.7044064548717421,0.5462898638261549,1.22657260386299,-0.6012244445140416,true,true,true,true
random,20,-24.038013264163414,-17.806251266594575,-30.269775261732256,-41.07059909412438,17.03258582996097,true,true,true,true
weak_sensitivity,1,0.003463710408557752,0.006776723571977339,0.00015069724513816496,0.003463710408557752,0.0,true,true,true,true
weak_sensitivity,2,-0.0037457779884175757,0.06915007547166896,-0.07664163144850411,-0.00374577798843978,2.220446049250313e-14,true,true,true,true
weak_sensitivity,3,0.0056544757458421024,0.1629268351485913,-0.1516178836569071,0.005654475745819898,2.220446049250313e-14,true,true,true,true
