stage,rho,gp,kappa,Delta_smoothed,gravity_value,grad_relerr,entropy_mean,entropy_max_possible,frac_boundary,n_outer_iters,n_eval,wall_seconds,hessopt_fallback_detected,knitro_status,opt_err
1,0.1994589979674038,0.8924837503636073,0.1726920533289268,NaN,-4.408559883568992e-18,NaN,0.8570472410229305,1.3862943611198906,0.998375,12,14,8.247519969940186,false,-200,1.0000000010289847
2,0.03424996373261678,0.8924707371830246,0.1727121580000719,NaN,-4.408559883568992e-18,NaN,0.17483593722072474,1.3862943611198906,0.41953125,12,14,2.7662241458892822,false,-200,1.0000000010312384
3,0.006662743934453191,0.8924707371830246,0.1727121580000719,NaN,-4.408559883568992e-18,NaN,0.03314866683329711,1.3862943611198906,0.089375,12,14,3.004650831222534,false,-200,1.0000000010312384
4,0.0034097989685915736,0.8924707371830246,0.1727121580000719,NaN,-4.408559883568992e-18,NaN,0.016839194722359896,1.3862943611198906,0.0468125,12,14,3.5491108894348145,false,-200,1.0000000010312384
5,4.844465518516472e-7,0.8924707371830246,0.1727121580000719,NaN,-4.408559883568992e-18,NaN,1.5605549570036394e-8,1.3862943611198906,0.0,12,14,3.0001120567321777,false,-200,1.0000000010312384
