h,slope_Q_adj,slope_L_fix,slope_optimized,abs_Q_minus_L,abs_Q_minus_opt,abs_L_minus_opt
0.2,0.05857232293626081,0.05855614841954219,NaN,1.6174516718620024e-5,NaN,NaN
0.1,0.059052533775353265,0.05907187606759766,0.43767143710592965,1.9342292244393933e-5,0.3786189033305764,0.378599561038332
0.05,0.058891423439149986,0.058898967132113796,0.1181814011813253,7.543692963810078e-6,0.05928997774217531,0.0592824340492115
0.025,0.05878676821664265,0.05881657474236653,0.07046708683852966,2.9806525723881372e-5,0.01168031862188701,0.011650512096163128
0.0125,0.05842665485699433,0.05844788456034138,0.05953138562273646,2.122970334705182e-5,0.0011047307657421276,0.0010835010623950758
0.00625,0.06001649583192521,0.060047067924748426,0.05977361908394809,3.057209282321394e-5,0.00024287674797712072,0.00027344884080033466
0.001,0.054817255250740764,0.05472418879217414,0.0542302147164883,9.306645856662493e-5,0.0005870405342524657,0.0004939740756858407
0.0001,0.019835316976877203,0.01851075856402844,0.02146938098488609,0.001324558412848762,0.0016340640080088863,0.0029586224208576484
