g,start_kind,Delta,feasible,knitro_status,n_eval,wall
0.8859910981141633,continuation,1.3819116855702511,true,-102,436,8.355589866638184
0.8859910981141633,incumbent,1.3819158245516672,true,-101,346,6.708009958267212
0.8859910981141633,calib,NaN,false,0,1,0.4970071315765381
0.8859910981141633,incumbent+0.5r,NaN,false,0,1,0.01832103729248047
0.8859910981141633,incumbent+1.5r,NaN,false,0,1,0.020591020584106445
0.8859910981141633,calib+0.5r,NaN,false,0,1,0.02006983757019043
0.8859910981141633,calib+1.5r,NaN,false,0,1,0.01669788360595703
0.8859910981141633,uniform_pm2_a,NaN,false,0,1,0.014325857162475586
0.8859910981141633,uniform_pm2_b,NaN,false,0,1,0.01636195182800293
0.8926357895019496,continuation,0.9999999999999983,true,-101,67,1.0414340496063232
0.8926357895019496,incumbent,0.9999999999999983,true,-101,67,1.0498850345611572
0.8926357895019496,calib,NaN,false,0,1,0.03429913520812988
0.8926357895019496,incumbent+0.5r,NaN,false,0,1,0.06624197959899902
0.8926357895019496,incumbent+1.5r,NaN,false,0,1,0.018037080764770508
0.8926357895019496,calib+0.5r,NaN,false,0,1,0.020516157150268555
0.8926357895019496,calib+1.5r,NaN,false,0,1,0.022209882736206055
0.8926357895019496,uniform_pm2_a,NaN,false,0,1,0.018342971801757812
0.8926357895019496,uniform_pm2_b,NaN,false,0,1,0.022539138793945312
