branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
A_toward_min_gamma,13,0.105625,0.9552328316292676,0.9699279936,3.00720064,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0210949812,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.4849,previous_finite_idx12,2.941744e-14,0.0,3.245816e-13,,0.02109498,0.02109498,0.02455297,-3.756544e-15,4.440892e-16,0.2776345,18.7031,not_replayed
A_toward_min_gamma,14,0.1225,0.9529280906896649,0.9683672344,3.16327656,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0277263019,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5711,previous_finite_idx13,8.970255e-14,0.0,6.968046e-13,,0.0277263,0.0277263,0.02455297,-3.756544e-15,8.500145000000001e-17,0.2776345,21.49426,not_replayed
A_toward_min_gamma,15,0.140625,0.9504546963341632,0.9666908635,3.33091365,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0358614457,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5317,previous_finite_idx14,3.157197e-15,0.0,1.365574e-14,,0.03586145,0.03586145,0.02455297,-3.756544e-15,1.830133e-16,0.2776345,24.56834,not_replayed
A_toward_min_gamma,16,0.16,0.9478130936105225,0.9648988808,3.51011192,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0456889696,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5813,previous_finite_idx15,2.879641e-15,1.110223e-16,1.854072e-14,,0.04568897,0.04568897,0.02455297,-3.756544e-15,5.429684e-16,0.2776345,27.96483,not_replayed
A_toward_min_gamma,17,0.180625,0.9450037591319893,0.9629912863,3.70087137,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0575203233,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5381,previous_finite_idx16,8.493206e-15,2.220446e-16,1.64313e-14,,0.05752032,0.05752032,0.02455297,-3.756544e-15,5.915407e-16,0.2642468,31.74655,not_replayed
A_toward_min_gamma,18,0.2025,0.942027201075668,0.96096808,3.903192,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0716317748,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.7399,previous_finite_idx17,1.290634e-15,1.110223e-16,8.326673e-15,,0.07163177,0.07163177,0.02455297,-3.756544e-15,5.672546e-16,0.2155669,35.9703,not_replayed
A_toward_min_gamma,19,0.225625,0.9388839594859699,0.958829262,4.1170738,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0884512357,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.533,previous_finite_idx18,5.245804e-15,1.110223e-16,7.882583e-15,,0.08845124,0.08845124,0.02455297,-3.756544e-15,2.428613e-16,0.1637587,40.7338,not_replayed
A_toward_min_gamma,20,0.25,0.9355746058541738,0.9565748321,4.34251679,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.108476799,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5258,previous_finite_idx19,3.330669e-15,0.0,2.631229e-14,,0.1084768,0.1084768,0.02455297,-3.756544e-15,6.756748e-16,0.1187354,46.17543,not_replayed
A_toward_min_gamma,21,0.275625,0.9320997443248907,0.9542047905,4.57952095,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.132336407,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5183,previous_finite_idx20,3.358425e-15,1.110223e-16,3.019807e-14,,0.1323364,0.1323364,0.02455297,-3.756544e-15,-1.734723e-18,0.0799194,52.50157,not_replayed
A_toward_min_gamma,22,0.3025,0.92846001071105,0.951719137,4.8280863,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.160849637,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.5762,previous_finite_idx21,7.077672e-15,0.0,1.787459e-14,,0.1608496,0.1608496,0.02455297,-3.756544e-15,-1.00614e-16,0.04681054,60.03921,not_replayed
A_toward_min_gamma,23,0.330625,0.9246560738674846,0.9491178718,5.08821282,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.195320804,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.6003,previous_finite_idx22,6.994405e-15,0.0,1.43205e-14,,0.1953208,0.1953208,0.02455297,-3.756544e-15,2.879641e-16,0.02307136,69.36287,not_replayed
A_toward_min_gamma,24,0.36,0.9206886348778242,0.9464009948,5.35990052,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.237714883,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.577,previous_finite_idx23,2.991773e-13,0.0,7.99547e-13,,0.2377149,0.2377149,0.02455297,-3.756544e-15,1.812786e-16,0.007948793,81.53377,not_replayed
A_toward_min_gamma,25,0.390625,0.9165584278647474,0.943568506,5.6431494,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.291535416,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.5934,previous_finite_idx24,2.498002e-15,2.220446e-16,6.439294e-15,,0.2915354,0.2915354,0.02455297,-3.756544e-15,1.038232e-15,0.001398536,98.65976,not_replayed
A_toward_min_gamma,26,0.4225,0.9122662200800719,0.9406204054,5.93795946,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.363301199,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.6606,previous_finite_idx25,2.609024e-15,2.220446e-16,1.34337e-14,,0.3633012,0.3633012,0.02455297,-3.756544e-15,-2.6888210000000003e-17,5.96467e-05,124.1397,not_replayed
A_toward_min_gamma,27,0.455625,0.9078128121539824,0.937556693,6.2443307,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.464749902,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.5348,previous_finite_idx26,2.38698e-15,0.0,7.327472e-15,,0.4647499,0.4647499,0.02455297,-3.756544e-15,1.465841e-16,2.228732e-07,160.9736,not_replayed
A_toward_min_gamma,28,0.49,0.9031990385022244,0.9343773689,6.56226311,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.613830178,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.5543,previous_finite_idx27,7.438494e-15,0.0,1.565414e-14,,0.6138302,0.6138302,0.02455297,-3.756544e-15,4.518955e-16,1.25578e-11,211.1831,not_replayed
A_toward_min_gamma,29,0.525625,0.8984257670214145,0.9310824329,6.89175671,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.839604342,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.5574,previous_finite_idx28,5.884182e-15,0.0,8.992806e-15,,0.8396043,0.8396043,0.02455297,-3.756544e-15,-5.724587000000001e-17,5.3184899999999997e-20,281.5096,not_replayed
A_toward_min_gamma,30,0.5625,0.8934939003935383,0.9276718852,7.23281148,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.20066101,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,20,0.5658,previous_finite_idx29,1.501022e-13,0.0,1.626477e-13,,1.200661,1.200661,0.02455297,-3.756544e-15,9.645063e-16,1.405953e-35,389.5067,not_replayed
A_toward_min_gamma,31,0.600625,0.8884043753747275,0.9241457257,7.58542743,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.85182004,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,22,0.5987,previous_finite_idx30,3.774758e-15,0.0,1.332268e-14,,1.85182,1.85182,0.02455297,-3.756544e-15,4.458239e-16,1.928712e-68,582.855,not_replayed
A_toward_min_gamma,32,0.64,0.8831581636931021,0.9205039544,7.94960456,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.34564999,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,24,0.5984,previous_finite_idx31,4.427569e-13,1.110223e-16,9.139845e-14,,3.34565,3.34565,0.02455297,-3.756544e-15,7.684825e-16,1.068687e-179,973.9503,not_replayed
A_toward_min_gamma,33,0.680625,0.8777562722370019,0.9167465713,8.32534287,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1336,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,34,0.7225,0.8721997434038433,0.9128735764,8.71264236,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.132,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,35,0.765625,0.8664896554651514,0.9088849697,9.11150303,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1376,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,36,0.81,0.860627123091027,0.9047807513,9.52192487,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1441,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,37,0.855625,0.8546132971782489,0.900560921,9.9439079,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1349,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,38,0.9025,0.8484493662665267,0.896225479,10.3774521,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1359,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,39,0.950625,0.8421365559759763,0.8917744252,10.82255748,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1412,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,40,0.99,0.8369832311293096,0.8881326539,11.18673461,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1363,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,41,0.995,0.8363295953908066,0.8876702067,11.23297933,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1636,previous_finite_idx32,,,,,,,,,,,,not_replayed
A_toward_min_gamma,42,0.999,0.8358068094549295,0.887300249,11.2699751,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,,,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,-1,8,0.1362,previous_finite_idx32,,,,,,,,,,,,not_replayed
B_toward_max_gamma,0,0.0,0.9697008880208994,0.9796971896,2.03028104,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000407206993,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,2,0.492,calibration_seed,2.494478e-15,0.0,2.342571e-14,,0.000407207,0.000407207,0.02051175,-3.756544e-15,6.071532e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,1,0.000625,0.9697197278197467,0.9797098789,2.02901211,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000407318832,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,9,0.483,calibration_seed,4.119968e-18,0.0,7.660539e-15,,0.0004073188,0.0004073188,0.02049879,-3.756544e-15,2.732189e-16,0.2776345,4.753382,not_replayed
