gp,kappa,delta_star,nStatus,ok
0.9477618976237339,0.08553853686915913,NaN,-300,false
0.9497618976237339,0.08232006129540259,2.1173266615918287,0,true
0.9517618976237339,0.07909706425526886,1.2722150166225847,0,true
0.9537618976237339,0.07586954891806696,0.9300765744540771,0,true
0.9557618976237339,0.07263751844423894,0.7259173580537405,0,true
0.9577618976237339,0.06940097598540218,0.5846029032499014,0,true
0.9597618976237339,0.06615992468439347,0.47843238814903827,0,true
0.9617618976237339,0.06291436767531089,0.3937224416132859,0,true
0.9637618976237339,0.05966430808355683,0.3235201322296104,0,true
0.9657618976237339,0.05640974902587981,0.2641003515127638,0,true
0.9677618976237339,0.053150693610416244,0.21327360672697304,0,true
0.9697618976237339,0.04988714493673241,0.169635286336153,0,true
0.9717618976237339,0.04661910609586539,0.13221964598193248,0,true
0.9737618976237339,0.04334658017036397,0.10032661870108608,0,true
0.9757618976237339,0.04006957023432978,0.07342856236501558,0,true
0.9777618976237339,0.03678807935345718,0.051117251095384106,0,true
0.9797618976237339,0.03350211058507391,0.03307350525293958,0,true
0.9817618976237339,0.030211666978180673,0.019051549421364417,0,true
0.9837618976237339,0.026916751573490716,0.00888086280800094,0,true
0.9857618976237339,0.023617367403469425,0.002496616361266353,0,true
0.9877618976237339,0.0203135174923732,0.00010296903655762894,0,true
0.9897618976237339,0.017005204856288203,0.0029961118016122077,0,true
0.9917618976237339,0.013692432503168983,0.013950713283326031,0,true
0.9937618976237339,0.010375203432877123,0.03764442346449628,0,true
0.9957618976237339,0.0070535206372186465,0.0841374822798419,0,true
0.9977618976237339,0.0037273870999819936,0.18855407694660242,0,true
0.9997618976237339,0.0003968057969759853,1.3289764358270602,0,true
