point,method,full_vector_cosine,gamma_component_abs_err,gamma_component_rel_err,A_block_cosine,A_block_norm_ratio,A_block_sign_agreement,gravity_tangent_A_cosine,gravity_tangent_A_norm_ratio
calibration,A_pathwise_AD,0.9995801037157916,0.09630707719353998,0.2502236817263147,0.9622255668262882,0.859658414430103,0.9375,0.9581113402809305,0.8633638457917361
calibration,Q_adj_FD,0.9998132050580588,0.09630317096051416,0.2502135326070819,0.9932237564819696,0.88459605744946,1.0,0.9937659306085744,0.8978013464386332
calibration,L_fix_FD,0.9998116544889276,0.09630926987649452,0.2502293787240612,0.9930991653455423,0.8847895417776788,1.0,0.9935996452180496,0.8978550273781165
calibration,L_fix_FD_blockrescaled,0.999946411705064,0.0,0.0,0.9930991653455422,0.9930991653455427,1.0,0.9935996452180494,1.0077640344833034
upper_maxit15,A_pathwise_AD,0.9999214950127703,69.080374348367,0.5747569491175266,-0.674726912747671,2.7493178758630923,0.75,-0.6454801197360811,3.3597522325897415
upper_maxit15,Q_adj_FD,0.9983674112840901,69.07957471527894,0.5747502960749158,0.8404264729403546,14.293173910983752,0.9375,0.8142614541658854,16.657404664199753
upper_maxit15,L_fix_FD,0.999997698616922,67.37216891488437,0.5605444762889443,0.9992456402623285,0.9789266617637674,1.0,0.9987945907556738,0.9843939472546416
upper_maxit15,L_fix_FD_blockrescaled,0.9999999977019176,0.0,0.0,0.9992456402623285,0.9992456402623285,1.0,0.9987945907556738,1.0048264068347519
upper_maxit40,A_pathwise_AD,0.9999081761401131,31.555120297242937,0.4142306758231199,-0.7948162614609118,2.8944211969726314,0.625,-0.8030854148244272,3.5733065134844555
upper_maxit40,Q_adj_FD,0.997917737290445,31.55442096794276,0.4142214955808674,0.8674981689083431,16.6220246972235,1.0,0.8543385721838721,19.645877213923942
upper_maxit40,L_fix_FD,0.9999987222884994,30.467637291940065,0.39995505855437113,0.9970046625599086,1.0038607897531875,1.0,0.9950261100155968,1.0141639148276604
upper_maxit40,L_fix_FD_blockrescaled,0.9999999834895459,0.0,0.0,0.9970046625599086,0.9970046625599085,1.0,0.9950261100155975,1.0072374197738971
