coord,fd_derivative_profiled,fd_derivative_reference_path,abs_diff,rel_diff
1,305086.7663517768,5164.3477285539575,299922.4186232228,58.0755662452657
2,-0.00022608178158552063,-0.00022608195348878916,1.7190326852961624e-10,7.603582058491922e-7
327,-0.00011475412384691439,-0.00011475453843032106,4.1458340666739035e-10,3.6127844034606557e-6
50,-8.503648883902756e-5,-8.503818107578626e-5,1.6922367587074438e-9,1.9899729007600923e-5
150,1.8727892789750615e-5,1.8727860210017433e-5,3.2579733182103165e-11,1.739639917040626e-6
