idx,t_elapsed,Delta_dual,inner_status,verified
1,12.583640098571777,1.6825906122917014,0,true
2,43.00832915306091,0.6569103101553303,0,true
3,71.20409107208252,0.6127336785287505,0,true
4,99.60996317863464,0.5196748858496313,0,true
5,127.54908204078674,0.4886654725244328,0,true
6,155.41427302360535,0.4648611382319766,0,true
7,183.30230617523193,0.45462623064445973,0,true
8,211.62273001670837,0.4421018400279163,0,true
9,239.81834506988525,0.43140541707525515,0,true
11,288.88453698158264,0.7241561150433296,0,true
12,290.15691113471985,0.4738668359957668,0,true
13,291.49954104423523,0.4303648672095742,0,true
14,319.3978431224823,0.4183866193353966,0,true
15,347.337140083313,0.4121997280043324,0,true
16,374.93733406066895,0.40148214772630125,0,true
17,402.33565497398376,0.3996455496619856,0,true
18,430.7226631641388,0.3943719807893351,0,true
19,459.76115918159485,0.4365491246576832,0,true
20,461.0028381347656,0.3927771016042872,0,true
21,490.9225420951843,0.38485295615638354,0,true
22,521.1167869567871,0.3832021143622782,0,true
23,549.2114660739899,1.2030756781431613,0,true
24,550.4231450557709,0.5300150361591367,0,true
25,551.619117975235,0.4134357426767575,0,true
26,552.8447699546814,0.3835553148923126,0,true
27,554.2304241657257,0.3791567418035132,0,true
28,582.5677111148834,0.3755658065423574,0,true
29,612.0496461391449,15.882339499462468,0,true
30,613.4222910404205,0.6460556587649677,0,true
31,614.6293451786041,0.42227695221415573,0,true
32,616.4305441379547,0.38248068065661645,0,true
33,617.623113155365,0.37463823180327116,0,true
34,645.92391705513,0.3727483756578415,0,true
35,674.2254929542542,0.3713433406396474,0,true
36,702.1557099819183,1.0971206485871767,0,true
37,703.3464021682739,0.44721266817333194,0,true
38,704.4159190654755,0.37970959517245517,0,true
39,705.5132441520691,0.36794356242365317,0,true
40,733.0086491107941,0.3658548672994888,0,true
41,760.6540081501007,0.3792276617952872,0,true
42,761.7503221035004,0.3646200144804832,0,true
43,790.1473200321198,0.36054429800744936,0,true
44,818.6363651752472,0.3596271872451924,0,true
45,847.5821101665497,0.9355657154850145,0,true
46,848.812814950943,0.4541434310141524,0,true
47,849.9947421550751,0.37727792945375116,0,true
48,851.0567121505737,0.3604995985796625,0,true
