idx,t_elapsed,Delta_dual,inner_status,verified
1,4.863340854644775,0.3312946726674776,0,true
13,218.40868377685547,0.0032100850234426225,0,true
14,245.2186598777771,0.0023270185383087887,0,true
15,272.33175683021545,0.002079118239158766,0,true
16,299.9763879776001,0.0020362569100503456,0,true
17,326.96135997772217,0.0017761856757858502,0,true
18,353.844762802124,0.028559771260752667,0,true
19,354.6556499004364,0.007213842770700795,0,true
20,355.4735698699951,0.002367623597795543,0,true
21,356.2780668735504,0.00153191371679996,0,true
22,383.1812160015106,0.0013639272963045716,0,true
23,409.9507818222046,0.0015518530932320202,0,true
24,410.7749238014221,0.0012632198209137672,0,true
25,437.9748408794403,0.0011926292874218623,0,true
26,464.4679069519043,0.0010095677364899446,0,true
27,491.21602296829224,0.0009372465258195069,0,true
28,518.1750938892365,0.0007031726967570594,0,true
29,545.9312160015106,0.0006818373122883828,0,true
30,573.5133168697357,0.03187339376680155,0,true
31,574.3179559707642,0.00748434348126922,0,true
32,575.1370558738708,0.0020599075324804553,0,true
33,575.9531509876251,0.0008778717027691692,0,true
34,576.7874948978424,0.0006573201843956829,0,true
35,604.0006439685822,0.00059942017346503,0,true
36,631.1148138046265,0.0005884582089300857,0,true
37,658.7123308181763,0.0005137062116901285,0,true
38,685.6740469932556,0.0004529870861915637,0,true
39,712.5508677959442,0.00044414329310098064,0,true
40,739.5581297874451,0.0004071058911068186,0,true
41,766.526773929596,0.00037817373840664284,0,true
42,793.2174079418182,0.004036930858384549,0,true
43,793.9079418182373,0.0011061405876391804,0,true
44,794.5847568511963,0.0004547501252844105,0,true
45,795.3020827770233,0.0003444253774879581,0,true
46,822.0627248287201,0.00032718124312647464,0,true
47,849.0854618549347,0.0002979513399107861,0,true
52,947.3020849227905,0.2555951428149672,0,true
53,948.2137179374695,0.029782811097873063,0,true
54,949.0172119140625,0.015095931304162927,0,true
55,949.7641978263855,0.004107816862692812,0,true
56,950.6701169013977,0.0012752261353781147,0,true
57,951.716148853302,0.0005401901240297277,0,true
58,952.4539639949799,0.00035494312608442484,0,true
59,953.1864099502563,0.00031008977937137835,0,true
60,953.8504250049591,0.0002998901678746796,0,true
61,954.506963968277,0.0002978830084773639,0,true
62,980.7765979766846,0.000297624612579176,0,true
63,1007.0614898204803,0.00029763637477768143,0,true
64,1007.7226719856262,0.00029763536253285614,0,true
65,1008.3879899978638,0.0002976185361739739,0,true
66,1034.7510747909546,0.0002976304338483158,0,true
67,1035.420641899109,0.0002976341066268062,0,true
68,1036.0918889045715,0.00029761561075103594,0,true
69,1062.453421831131,0.00029763511425083913,0,true
70,1063.1610679626465,0.00029763604154693857,0,true
71,1063.8594830036163,0.0002976365236468975,0,true
72,1064.5690817832947,0.00029763578318160635,0,true
73,1065.4877967834473,0.0002976153224214183,0,true
74,1093.3971848487854,0.0002976355298367648,0,true
75,1094.176929950714,0.00029761526405888797,0,true
76,1120.6265997886658,0.00029763552932799564,0,true
77,1121.2932569980621,0.0002976355579493761,0,true
78,1121.972366809845,0.00029763557227034437,0,true
79,1122.6429929733276,0.00029761525684669467,0,true
80,1149.2634768486023,0.00029763557226932544,0,true
81,1149.9485948085785,0.0002976355758511838,0,true
82,1150.6185867786407,0.000297635577642246,0,true
83,1151.2900249958038,0.0002976152559454629,0,true
84,1178.0654349327087,0.0002976355776422213,0,true
85,1178.7357149124146,0.00029763557809002125,0,true
86,1179.383183002472,0.0002976355783139098,0,true
87,1180.0653569698334,0.00029763557842584995,0,true
88,1180.7472829818726,0.0002976355784818452,0,true
89,1181.427435874939,0.0002976152559173065,0,true
90,1208.4178969860077,0.0002976355784818376,0,true
91,1209.2042798995972,0.000297615255903224,0,true
92,1235.9839220046997,0.0002976355784818406,0,true
93,1236.7042949199677,0.0002976152558961755,0,true
94,1263.709056854248,0.0002976355784818406,0,true
95,1264.4201879501343,0.00029761525589265054,0,true
96,1291.1993379592896,0.0002976355784818406,0,true
97,1291.888939857483,0.00029763557848358366,0,true
98,1292.5468018054962,0.0002976355784844612,0,true
99,1293.2025799751282,0.0002976355784848984,0,true
100,1293.8740828037262,0.0002976152558924386,0,true
101,1320.3612558841705,0.0002976355784848984,0,true
102,1321.0392508506775,0.00029763557848502034,0,true
103,1321.7185609340668,0.00029761525589238946,0,true
104,1348.4329149723053,0.00029763557848467995,0,true
105,1349.0949878692627,0.0002976355784848679,0,true
106,1349.7641179561615,0.0002976355784849696,0,true
107,1350.4316818714142,0.00029763557848501275,0,true
108,1351.0856049060822,0.00029763557848502326,0,true
109,1351.930755853653,0.00029761525589237347,0,true
