arm,n_eval,wall_s,best_Delta,best_Delta_at_matched_time,time_to_common_threshold_s
full,221,1552.4891679286957,8.153488381527752e-5,8.153488381527752e-5,241.9500539302826
profiled,26,1687.4178099632263,0.0008106155003459895,0.00099612055542589,1687.4178099632263
