idx,t_elapsed,Delta_dual,inner_status,verified
1,3.0034890174865723,0.0021192257477205888,0,true
6,215.0937340259552,0.4300379414006207,0,true
7,215.95494604110718,0.08026906639805477,0,true
8,216.74972295761108,0.020831365255174136,0,true
9,217.54188704490662,0.0068472302844303804,0,true
10,218.44898986816406,0.0032993998281904504,0,true
11,219.59049701690674,0.00239457691343071,0,true
12,220.47150087356567,0.00217458526563109,0,true
13,221.27970504760742,0.0021258517200167153,0,true
14,222.05959701538086,0.0021172153762109183,0,true
15,353.6227538585663,0.002116661197358109,0,true
16,485.61559200286865,0.0021102133144581896,0,true
17,620.0323510169983,0.002103675564105838,0,true
18,758.0329878330231,0.002072996827090072,0,true
19,888.933266878128,0.02277743987122592,0,true
20,889.7785699367523,0.005711598389368047,0,true
21,890.5841999053955,0.0021319530045363095,0,true
22,891.374981880188,0.0015744434053317493,0,true
23,1024.034010887146,0.00404152911916093,0,true
24,1024.9066698551178,0.001761430618631516,0,true
25,1025.7346498966217,0.001374626798660965,0,true
26,1160.3819530010223,0.0012031937997099165,0,true
27,1290.5732190608978,0.0010650429434397892,0,true
28,1424.4984200000763,0.00099612055542589,0,true
29,1556.1271979808807,0.000990938965772254,0,true
30,1687.4178099632263,0.0008106155003459895,0,true
