label,t_pre,t_shared,max_abs_err,max_rel_err,cos_sim,h_used_bit_identical,switch_mass_bit_identical,q0_bit_identical
calibration,2.166766881942749,0.7167141437530518,0.0,0.0,0.9999999999999999,true,true,true
small_perturbation,0.5776879787445068,0.07155680656433105,0.0,0.0,1.0,true,true,true
