idx,t_elapsed,Delta_dual,inner_status,verified
1,3.41615891456604,0.0021192257477205888,0,true
6,96.39289903640747,0.43003814301165433,0,true
7,97.85178589820862,0.08026909212994901,0,true
8,98.77553200721741,0.02083137098188478,0,true
9,99.74327397346497,0.006847231715007376,0,true
10,100.5853660106659,0.0032994001955234213,0,true
11,101.45762991905212,0.002394577005011254,0,true
12,102.28038907051086,0.002174585286852654,0,true
13,103.1245789527893,0.0021258517242693023,0,true
14,104.50265312194824,0.0021172153767202713,0,true
15,115.9272210597992,0.0021166611971674665,0,true
16,127.5528199672699,0.0021102129142069803,0,true
17,139.30026602745056,0.0021036755543247,0,true
18,151.03782606124878,0.0020729945704951484,0,true
19,162.7734179496765,0.022777309010547184,0,true
20,163.5710620880127,0.005716617257064523,0,true
21,164.36766290664673,0.0021309142961139877,0,true
22,165.16334700584412,0.001574443489178522,0,true
23,176.34327292442322,0.004040201731813998,0,true
24,177.1797170639038,0.0017612833312531568,0,true
25,178.00406098365784,0.0013741624950334137,0,true
26,189.04918599128723,0.0012032198344553867,0,true
27,200.16523504257202,0.0010661442085181702,0,true
28,211.0735080242157,0.0009961116599687117,0,true
29,222.24868202209473,0.0009921819668057346,0,true
30,233.27169609069824,0.0067202103043494926,0,true
31,234.08217692375183,0.002218957611879696,0,true
32,234.87099289894104,0.0011441909814218826,0,true
33,235.67391991615295,0.0009606833968032466,0,true
34,246.75886702537537,0.0008679974198016535,0,true
35,258.18856406211853,0.0007908452561599499,0,true
36,270.47301197052,1.2603645130727488,0,true
37,271.89675307273865,0.145207940799403,0,true
38,272.9913899898529,0.033649329499935016,0,true
39,273.9287009239197,0.009058285978700757,0,true
40,274.8613600730896,0.0029061249951318462,0,true
41,276.39531111717224,0.0013216307624994024,0,true
42,277.3185179233551,0.0009149595517081864,0,true
43,278.2765369415283,0.0008141434875686611,0,true
44,279.16665410995483,0.0007932295873601972,0,true
45,280.0228888988495,0.0007877552093321771,0,true
46,291.8389530181885,0.0007816317603280456,0,true
47,303.57589411735535,0.0007721950113026197,0,true
48,314.85165905952454,0.0007374926082449585,0,true
50,346.67713594436646,0.39458395211708464,0,true
51,347.6030910015106,0.0412303460964135,0,true
52,348.5163938999176,0.009385110044836234,0,true
53,349.341481924057,0.0027610199091911156,0,true
54,350.14114904403687,0.0012279897064414896,0,true
55,350.9573700428009,0.0008595252305042604,0,true
56,351.76592993736267,0.0007684500789191499,0,true
57,352.6860249042511,0.0007454741819615306,0,true
58,353.9289150238037,0.0007396897500045711,0,true
59,354.7795600891113,0.0007381264963457998,0,true
60,355.6440050601959,0.0007376880102925884,0,true
61,356.44283294677734,0.0007375493996249155,0,true
62,357.2649929523468,0.0007374902557939639,0,true
63,368.4543969631195,0.0007374816300259424,0,true
64,379.55545711517334,0.0007374829732961931,0,true
65,380.34176993370056,0.0007374824642280516,0,true
66,381.1845190525055,0.0007374815355540397,0,true
67,392.36173701286316,0.0007374810983983624,0,true
68,403.4250910282135,0.0007374813756115767,0,true
69,404.23335790634155,0.0007374808911985193,0,true
70,415.92200899124146,0.0007374807085962675,0,true
71,427.19191312789917,0.0007374805326605814,0,true
72,438.5558650493622,0.000737480359434556,0,true
73,449.84516191482544,0.0007374801874996469,0,true
74,460.9662539958954,0.0007374800162754501,0,true
75,472.19217801094055,0.0007374798454472145,0,true
76,483.5038890838623,0.00073747967487386,0,true
77,494.76539611816406,0.0007374795044499167,0,true
78,505.8628499507904,0.0007374793341352239,0,true
79,517.3482849597931,0.0007374791638839359,0,true
80,528.9513869285583,0.0007374789938359655,0,true
81,540.5021569728851,0.0007374788238149609,0,true
82,551.6833410263062,0.0007374786538210476,0,true
83,562.6916179656982,0.0007374784838398037,0,true
84,573.7796630859375,0.0007374783138743828,0,true
85,584.9975650310516,0.0007374781439149683,0,true
86,595.9882991313934,0.0007374779739655049,0,true
87,607.2651379108429,0.0007374778040187822,0,true
88,618.6660990715027,0.0007374776340787154,0,true
89,629.6545050144196,0.000737477464139782,0,true
90,640.8656280040741,0.0007374772942055238,0,true
91,652.0464999675751,0.0007374771242715628,0,true
92,663.3473830223083,0.0007374769543410125,0,true
93,674.6770191192627,0.0007374767844103863,0,true
94,686.0077021121979,0.0007374766144823083,0,true
95,696.7606959342957,0.0007374764445539766,0,true
96,707.7764070034027,0.0007374762746276158,0,true
97,719.171159029007,0.0007374761047009325,0,true
98,730.6645050048828,0.0007374759347757941,0,true
99,742.1670820713043,0.0007373585895111557,0,true
100,753.652960062027,0.0007373575566440498,0,true
101,765.1919279098511,0.0007373581744919266,0,true
102,766.0023710727692,0.0007373572780373859,0,true
103,777.627023935318,0.0007373570306619162,0,true
104,789.2476980686188,0.0007373561671882149,0,true
105,800.9968400001526,0.0007373558951481604,0,true
106,812.1513020992279,0.000737355033480948,0,true
107,823.153146982193,0.000737354759155017,0,true
