idx,t_elapsed,Delta_dual,inner_status,delta_feasible
1,2.782721996307373,0.002215441418390022,0,true
2,36.74986004829407,0.002072037813184022,0,true
3,49.81183099746704,0.0018363364707145214,0,true
4,81.28918409347534,8.935877528341763,0,false
5,82.81158900260925,0.7669843135163102,-101,true
6,84.16130805015564,0.18248463641380425,-101,true
7,85.24439787864685,0.04815060393315399,0,true
8,86.32307887077332,0.014060756831669628,0,true
9,87.5418930053711,0.0053052263529260605,0,true
10,88.67290496826172,0.0025601290352569015,0,true
11,90.17420196533203,0.0018256257532333732,0,true
12,101.23054790496826,0.0015243829855646177,0,true
13,128.45708107948303,0.001246434932825106,0,true
14,155.97044205665588,0.06848606445398736,0,true
15,157.27051091194153,0.017235640700310483,-101,true
16,158.4986560344696,0.004671932240297077,-101,true
17,159.48989987373352,0.0019209175236424123,0,true
18,160.68577694892883,0.001350130251016809,0,true
19,161.72761297225952,0.0012129133390230554,0,true
20,172.50859689712524,0.0010354741622327012,0,true
21,199.64769196510315,0.0008920176947340193,0,true
22,228.0860300064087,0.0008128850292692588,-101,true
23,239.39713287353516,0.0006989562472142177,0,true
24,267.3725309371948,0.06289581124970955,-101,true
25,268.4907879829407,0.015494672010179017,0,true
26,269.6500680446625,0.004034149573989895,0,true
27,270.71662187576294,0.0013424140194491646,0,true
28,271.72359800338745,0.0007501722135757242,0,true
29,272.68216705322266,0.0006518022629321167,0,true
30,284.26758003234863,0.0006065779243865962,0,true
31,295.8128218650818,0.0005192160826970442,0,true
32,322.8257648944855,0.0005115750108901723,0,true
33,333.6014280319214,0.0004632473343258539,0,true
34,360.71259808540344,0.0004247670717012682,0,true
35,388.53923296928406,0.0004115141614554267,0,true
36,399.8906879425049,0.000381503902877614,0,true
37,411.04914903640747,0.00037551232027358943,0,true
38,422.67142486572266,0.0003984448316715349,0,true
39,423.88789892196655,0.00034669441952840126,0,true
40,451.1861228942871,0.00031857518454657456,0,true
41,462.46044397354126,0.004313710770978716,0,true
42,463.5976529121399,0.0012049075403943311,0,true
43,464.6560070514679,0.00047311145202473813,0,true
44,465.9872169494629,0.0003108226258592858,0,true
45,477.2271749973297,0.00027309811525436003,0,true
46,487.97553992271423,0.0002676802917896295,0,true
47,515.734454870224,0.0034404061170606828,0,true
48,516.8119990825653,0.000920258363660486,0,true
49,518.3901300430298,0.0003816899699516891,0,true
50,519.4531719684601,0.0002716138920727401,0,true
51,520.615571975708,0.0002493422715780028,0,true
52,532.098128080368,0.0002326808520595601,0,true
53,542.9852349758148,0.0002245754058992174,0,true
54,569.9138860702515,0.00021958549872771186,0,true
55,580.8447229862213,0.00022401115339666633,0,true
56,582.0418119430542,0.00021431101577076256,-101,true
57,592.5709729194641,0.00020632495872215947,0,true
58,619.9713320732117,0.0018474015247525767,0,true
59,621.1020269393921,0.0005836094219110492,0,true
60,622.3495938777924,0.0002827920946768245,0,true
61,623.4951460361481,0.00021604054739105636,0,true
62,625.0575370788574,0.00020041489937865808,0,true
63,636.4092879295349,0.00018473446852332074,0,true
64,647.680419921875,0.0018534667994639308,0,true
65,648.7426209449768,0.0005812865525327734,0,true
66,649.880264043808,0.0002736782328173344,0,true
67,650.9066009521484,0.00019626121365801008,0,true
68,652.1492750644684,0.00018482272442420374,0,true
69,653.3857290744781,0.00018024781621292128,0,true
70,664.7247960567474,0.000166633363922428,0,true
71,676.0624039173126,0.008480915238195923,0,true
72,677.4142789840698,0.002215417661929882,0,true
73,678.4789099693298,0.0006596823762352531,0,true
74,680.097934961319,0.00026554715710839084,0,true
75,681.2310650348663,0.00018133904989610242,0,true
76,682.2202949523926,0.00016464922717080287,0,true
77,693.2511200904846,0.00015764171821480434,-101,true
78,720.5327939987183,0.0001480567367289293,0,true
79,731.3062500953674,0.0005997487486228354,0,true
80,732.4417850971222,0.00024094148894008576,-101,true
81,733.5029389858246,0.0001582584923569298,0,true
82,734.6424129009247,0.00014370438007088818,-101,true
83,745.8129708766937,0.0001390034670340315,0,true
84,756.8641541004181,0.00014132688456386608,0,true
85,758.0552990436554,0.0001391023890078642,0,true
86,759.0151410102844,0.00014016448217645533,0,true
87,760.4120559692383,0.00013905551424043248,0,true
88,761.5454330444336,0.00013764321758934892,-101,true
89,788.8123738765717,0.00015706277394267638,0,true
90,789.7750639915466,0.00013813445957458514,0,true
91,790.9119689464569,0.00013529331231012945,0,true
92,801.8623518943787,0.0001332576649505858,-101,true
93,813.1081149578094,0.00013563705918367625,0,true
94,814.3448519706726,0.00013157242747345075,-101,true
95,825.3812429904938,0.00012675636788165502,0,true
96,836.6074509620667,0.00012761732785555107,0,true
97,837.6563708782196,0.00012801557054478775,0,true
98,838.6367180347443,0.00012516116390971186,0,true
99,866.5891270637512,0.00021055383525869808,0,true
100,867.7017900943756,0.00013668712272866873,0,true
101,868.8264169692993,0.00012214620029713056,-101,true
102,879.8522670269012,0.00011604980940239767,-101,true
103,890.5848410129547,0.00022323068661113437,0,true
104,891.560487985611,0.00014771926010955736,0,true
105,892.5259928703308,0.00012463297263469821,0,true
106,893.5049278736115,0.00011570815095242397,0,true
107,904.4112479686737,0.00011164470391280015,0,true
108,915.5383040904999,0.0005877721619308003,0,true
109,916.5922930240631,0.00022198481995566193,0,true
110,918.1384150981903,0.00013891635535376182,0,true
111,919.286495923996,0.00011650711925755813,0,true
112,920.2874670028687,0.00011097556577440373,0,true
113,931.2590758800507,0.00010788609113612045,0,true
114,958.8444519042969,0.000317544856664132,0,true
115,959.9096240997314,0.00015651352196305505,0,true
116,960.8252019882202,0.00011868056545575932,0,true
117,961.9656500816345,0.0001090447780843653,0,true
118,963.0261189937592,0.00010699954937613165,0,true
119,973.8087589740753,0.00010598012814885834,0,true
120,984.5728530883789,0.00010835702880752378,0,true
121,985.6196970939636,0.00010424946923874619,0,true
122,996.5281178951263,0.00010347937911353145,0,true
123,1007.2319779396057,0.00016403190939266604,0,true
124,1008.639317035675,0.00011633282282956182,0,true
125,1009.7830140590668,0.00010348446050693998,0,true
126,1010.8893799781799,0.00010158754854151632,0,true
127,1021.722697019577,9.999902344190917e-5,-101,true
128,1049.6151330471039,0.00012120200459136877,0,true
129,1050.6657710075378,0.00010449666166631767,0,true
130,1051.734699010849,9.849742808384265e-5,0,true
131,1062.6866340637207,9.810461522368202e-5,0,true
132,1073.4600548744202,9.915907875258787e-5,0,true
133,1074.6388590335846,9.800685360220483e-5,0,true
