family,inner_status,max_abs_err,max_rel_err,gp_diff,dense_g_delta
flexible_CM,0,1.0842021724855044e-17,3.088478487120429e-15,2.526838675520615e-7,0
common_Frechet,0,1.1275702593849246e-17,3.5085555149873557e-15,1.3482000668640914e-7,0
