idx,t_elapsed,Delta_dual,inner_status,delta_feasible
1,2.743199110031128,0.4450203921159086,0,true
2,37.55587315559387,0.2688999961386239,0,true
3,65.36711502075195,0.24551255832647992,0,true
4,93.66166305541992,0.23068471409485322,-101,true
5,123.74569010734558,2.0172211862894778,0,false
6,125.6064989566803,0.5362365881197464,-101,true
7,126.90209603309631,0.28519885322149957,-101,true
8,127.9753429889679,0.23323422733627672,0,true
9,129.10393595695496,0.22592240449324355,0,true
10,156.40919017791748,0.21600904816793343,0,true
11,184.08305716514587,0.2059404331316464,0,true
12,211.206148147583,0.20313857399102092,0,true
13,238.60149908065796,0.19862673443662834,0,true
14,265.54407000541687,0.19515352462104257,0,true
15,294.23490595817566,0.1940808791687652,-101,true
16,322.2564949989319,0.19086415248822605,0,true
17,349.76280403137207,0.7660867406331878,0,true
18,351.6103181838989,0.3116458579787887,0,true
19,352.83460807800293,0.2143804000321067,0,true
20,353.85626912117004,0.19334488010870265,0,true
21,354.90094900131226,0.18982942347121862,0,true
22,381.8597991466522,0.18770442383234384,0,true
23,408.96299505233765,0.18392363767013073,0,true
24,436.5037820339203,0.18279471738357353,0,true
25,464.27793312072754,0.18132805093876037,0,true
26,491.989431142807,0.45222864786638306,0,true
27,493.112046957016,0.24328566275684171,0,true
28,494.3554000854492,0.19310720975459505,-101,true
29,495.508455991745,0.1821630955082733,0,true
30,496.56744718551636,0.18042772359712275,0,true
31,524.008994102478,0.17798788279755928,0,true
32,551.1470329761505,0.17521359034762826,0,true
33,578.4560539722443,0.17422814914815898,0,true
34,606.0842821598053,0.17137188362637026,0,true
35,634.214066028595,2.9453341602828957,0,false
36,635.5107400417328,0.6073105279267001,0,true
37,637.1115050315857,0.27118132435732467,0,true
38,638.3503000736237,0.19269987053563511,0,true
39,639.5951011180878,0.17415374814108808,-101,true
40,640.6392259597778,0.17056944516207492,0,true
41,668.0394630432129,0.16946921316558156,0,true
42,695.0104401111603,0.16798273773647787,0,true
43,722.3665170669556,0.16793266419094077,0,true
44,733.9885101318359,0.4957377918736231,0,true
45,735.2898390293121,0.24077883691644597,0,true
46,736.7193691730499,0.18503921003659712,0,true
47,737.9342670440674,0.17091179843456905,0,true
48,739.3443491458893,0.1675407803736239,0,true
49,767.2964220046997,0.16614280875396492,-101,true
50,795.928209066391,0.1654610705312605,0,true
51,823.552216053009,0.16531240386831866,0,true
52,834.4558801651001,0.16466606025745947,0,true
53,861.8852350711823,0.16437549961680709,0,true
54,889.1151511669159,0.16367092425049332,0,true
55,916.3880460262299,0.1629821471713795,0,true
56,943.4872281551361,0.1622524121878507,0,true
57,970.639552116394,0.6252600224635483,0,true
58,971.7132570743561,0.2694016503070408,0,true
59,972.8522071838379,0.18741235729906047,0,true
60,973.9730401039124,0.1675574890583782,0,true
61,975.0921671390533,0.1633109666724324,0,true
62,976.316563129425,0.16234356265502187,0,true
63,977.5182549953461,0.16222392410856415,0,true
64,988.6151230335236,0.16188660008988248,0,true
65,1015.8552980422974,0.16113207707577823,-101,true
66,1043.3193020820618,0.7541693588122826,0,true
67,1044.4244890213013,0.2864553158278084,0,true
68,1045.4850089550018,0.18959373098238297,0,true
69,1046.5245189666748,0.16666747095031553,0,true
70,1047.7088811397552,0.16171486016715722,0,true
71,1048.7813341617584,0.16104995222934432,0,true
72,1075.8040990829468,0.1605657516526922,0,true
