test,pass,detail
worker_produced_both_digest_keys,true,"d1=Dict(""flexible_CM_mock"" => ""ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b"", ""unrestricted"" => ""1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24"") d2=Dict(""flexible_CM_mock"" => ""ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b"", ""unrestricted"" => ""1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24"") d3=Dict(""flexible_CM_mock"" => ""ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b"", ""unrestricted"" => ""1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24"")"
digest_is_64_char_hex,true,unrestricted=1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24 flexible_CM_mock=ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b
unrestricted_digest_identical_across_3_fresh_processes,true,d1=1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24 d2=1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24 d3=1ba976ed1b9966e80c485fe128ed63df34ebceb9c7b0d6f433b273e891e00c24
flexible_CM_mock_digest_identical_across_3_fresh_processes,true,d1=ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b d2=ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b d3=ab007aae1de67804d7a68e1d989fe88bf617edb53d367c4571437c2214f1612b
unrestricted_and_mock_digests_differ,true,different family_kind/restriction ranges must not collide
