point,coord,direction,p_ok,ref_ok,Delta_dual_profiled,Delta_dual_ref,Delta_primal_profiled,Delta_primal_ref,mw_diff,div_diff,winner_match
base,0,na,true,true,0.0021192257477205888,0.002119222482245848,0.0021192257477201048,0.0021192224822454723,4.7914115625879994e-5,3.2654746324502215e-9,true
fd_endpoint,1,plus,false,false,6102.0731309917255,103.6247607238069,61.90738941280048,17.478680748632307,2148.968941746619,44.42870866416817,true
fd_endpoint,1,minus,true,true,0.33780395619010173,0.3378061527277567,0.33780395619072345,0.33780615272780135,0.00033353548751335893,2.1965370778920246e-6,true
fd_endpoint,2,plus,true,true,0.0021165855699462263,0.00211658230243302,0.0021165855699466604,0.0021165823024332803,4.7913771026308893e-5,3.267513380093151e-9,true
fd_endpoint,2,minus,true,true,0.0021211072055779367,0.002121103941502796,0.0021211072055792317,0.0021211039415033536,4.7914233155754715e-5,3.2640758780740076e-9,true
fd_endpoint,327,plus,true,true,0.0021189770625647682,0.0021189737914298636,0.0021189770625653754,0.002118973791430196,4.790895880102397e-5,3.2711351795680632e-9,true
fd_endpoint,327,minus,true,true,0.0021212721450417065,0.00212126888219847,0.0021212721450419194,0.0021212688821986973,4.7917414805809244e-5,3.2628432221695758e-9,true
fd_endpoint,50,plus,true,true,0.0021185032940242597,0.00211849999574635,0.0021185032940250325,0.002118499995746492,4.792478013460055e-5,3.2982785404776782e-9,true
fd_endpoint,50,minus,true,true,0.0021202040238010402,0.002120200759367866,0.002120204023801027,0.002120200759367739,4.790972973611751e-5,3.2644332879222526e-9,true
fd_endpoint,150,plus,true,true,0.0021194146576799825,0.0021194113918800153,0.0021194146576810242,0.0021194113918807807,4.7914312574781626e-5,3.2658002435161093e-9,true
fd_endpoint,150,minus,true,true,0.0021190400998241875,0.002119036834675815,0.002119040099823351,0.002119036834676486,4.7913887613049155e-5,3.265146865123053e-9,true
