idx,t_elapsed,Delta_dual,inner_status,delta_feasible
1,2.7373898029327393,0.002215441418390022,0,true
2,36.44580888748169,0.002072037813184022,0,true
3,49.12090587615967,0.0018363364707145214,0,true
4,81.25878882408142,8.935877528341763,0,false
5,82.92755579948425,0.7669843135163102,-101,true
6,84.39403700828552,0.18248463641380425,-101,true
7,85.53563499450684,0.04815060393315399,0,true
8,86.73670387268066,0.014060756831669628,0,true
9,87.86705493927002,0.0053052263529260605,0,true
10,89.018394947052,0.0025601290352569015,0,true
11,90.16419982910156,0.0018256257532333732,0,true
12,101.93239402770996,0.0015243829855646177,0,true
13,129.50617599487305,0.001246434932825106,0,true
14,157.84113883972168,0.06848606445398736,0,true
15,159.29773092269897,0.017235640700310483,-101,true
16,160.6046679019928,0.004671932240297077,-101,true
17,161.69916200637817,0.0019209175236424123,0,true
18,162.92709684371948,0.001350130251016809,0,true
19,164.10822701454163,0.0012129133390230554,0,true
20,175.4266049861908,0.0010354741622327012,0,true
21,203.0231068134308,0.0008920176947340193,0,true
22,230.7027678489685,0.0008128850292692588,-101,true
23,241.9500539302826,0.0006989562472142177,0,true
24,270.0338759422302,0.06289581124970955,-101,true
25,271.65251898765564,0.015494672010179017,0,true
26,272.8818109035492,0.004034149573989895,0,true
27,274.04769802093506,0.0013424140194491646,0,true
28,275.1097619533539,0.0007501722135757242,0,true
29,276.19297981262207,0.0006518022629321167,0,true
30,287.63052797317505,0.0006065779243865962,0,true
31,298.6799077987671,0.0005192160826970442,0,true
32,326.41478180885315,0.0005115750108901723,0,true
33,337.6808969974518,0.0004632473343258539,0,true
34,365.1839339733124,0.0004247670717012682,0,true
35,392.6400339603424,0.0004115141614554267,0,true
36,403.92749786376953,0.000381503902877614,0,true
37,415.04013085365295,0.00037551232027358943,0,true
38,426.1645429134369,0.0003984448316715349,0,true
39,427.47222995758057,0.00034669441952840126,0,true
40,455.838800907135,0.00031857518454657456,0,true
41,467.54909896850586,0.004313710770978716,0,true
42,468.72624683380127,0.0012049075403943311,0,true
