point,coord,direction,p_ok,ref_ok,Delta_dual_profiled,Delta_dual_ref,Delta_primal_profiled,Delta_primal_ref,mw_diff,div_diff,winner_match
base,0,na,true,true,0.0008944064101798138,0.0008944064101798343,0.0008944064101798833,0.0008944064101796029,8.218981051300034e-13,2.8037468180475145e-16,true
fd_endpoint,1,plus,false,false,3.163362884383015e14,65.21234069764725,268.8080751518055,14.068675093116878,2321.12140252129,254.73940005868863,true
fd_endpoint,1,minus,true,true,0.7692011694851781,0.7692011694851812,0.7692011694851386,0.7692011694851585,2.575717417130363e-12,1.9872992140790302e-14,true
fd_endpoint,2,plus,true,true,0.0022441380069420833,0.0022441380069420564,0.002244138006942486,0.002244138006941914,1.4548362514688051e-12,5.720250662033521e-16,true
fd_endpoint,2,minus,true,true,0.0010528014693875337,0.0010528014693875275,0.0010528014693878284,0.0010528014693875279,3.1086244689504383e-13,3.0054084221298183e-16,true
fd_endpoint,3,plus,true,true,0.0016007860968415917,0.0016007860968416077,0.0016007860968417272,0.0016007860968416984,4.505285033928885e-13,2.883977778811442e-17,true
fd_endpoint,3,minus,true,true,0.002122192091336032,0.0021221920913360487,0.002122192091336225,0.0021221920913356163,3.4372504842394846e-13,6.084542591988651e-16,true
fd_endpoint,4,plus,true,true,0.0010362474247030068,0.0010362474247030207,0.001036247424703236,0.0010362474247028505,4.720668300706166e-13,3.855422925358454e-16,true
fd_endpoint,4,minus,true,true,0.001255472985577628,0.0012554729855776296,0.0012554729855775118,0.001255472985577492,9.865441796819141e-13,1.9949319973733282e-17,true
fd_endpoint,5,plus,true,true,0.001571734967152823,0.0015717349671528428,0.0015717349671523478,0.0015717349671528216,3.4006131244268545e-13,4.737963493761654e-16,true
fd_endpoint,5,minus,true,true,0.0009656150118643303,0.0009656150118643326,0.0009656150118642147,0.0009656150118642941,3.277378368693462e-13,7.947201924318748e-17,true
fd_endpoint,6,plus,true,true,0.0011343637175640928,0.0011343637175641162,0.0011343637175639223,0.0011343637175643634,3.361755318564974e-13,4.410534437671032e-16,true
fd_endpoint,6,minus,true,true,0.0010542358727742836,0.0010542358727742972,0.0010542358727744345,0.001054235872774217,8.22453216642316e-13,2.174909558005922e-16,true
fd_endpoint,7,plus,true,true,0.0013110778300881238,0.0013110778300881249,0.0013110778300877179,0.0013110778300881318,8.737455203799982e-13,4.139483894549656e-16,true
fd_endpoint,7,minus,true,true,0.000805075799130098,0.0008050757991301046,0.0008050757991301154,0.000805075799129954,6.563638521583925e-13,1.614377034830916e-16,true
fd_endpoint,8,plus,true,true,0.0016833053633529983,0.0016833053633529996,0.0016833053633522805,0.00168330536335272,3.75921516138078e-13,4.395355607256235e-16,true
fd_endpoint,8,minus,true,true,0.001106631110224103,0.0011066311102241328,0.0011066311102243243,0.001106631110223994,1.2413403638333875e-12,3.3024798173908465e-16,true
fd_endpoint,9,plus,true,true,0.0019129378120191535,0.001912937812019162,0.001912937812019075,0.0019129378120187877,8.774092563612612e-13,2.8731357570865868e-16,true
fd_endpoint,9,minus,true,true,0.0013540359516740117,0.0013540359516740078,0.001354035951673571,0.0013540359516739642,5.424549698318515e-13,3.931317077432439e-16,true
fd_endpoint,10,plus,true,true,0.0010597911318009985,0.001059791131800975,0.0010597911318005616,0.0010597911318012863,6.357137039003646e-13,7.246807320893112e-16,true
fd_endpoint,10,minus,true,true,0.0009327894012177422,0.0009327894012177381,0.0009327894012177291,0.0009327894012177143,8.699707620962727e-13,1.485356976305141e-17,true
fd_endpoint,11,plus,true,true,0.0008148337093877306,0.00081483370938773,0.0008148337093872695,0.000814833709387406,8.064660050877137e-13,1.36501053515925e-16,true
fd_endpoint,11,minus,true,true,0.0012200561711318435,0.001220056171131852,0.0012200561711319133,0.0012200561711315382,9.624523400475482e-13,3.7513395167998453e-16,true
fd_endpoint,12,plus,true,true,0.0011656836265242913,0.0011656836265242793,0.0011656836265237947,0.001165683626524266,1.5949463971764999e-12,4.714111045966973e-16,true
fd_endpoint,12,minus,true,true,0.0006749053151173096,0.0006749053151173255,0.0006749053151173455,0.0006749053151170411,2.958744360626042e-13,3.043355498166811e-16,true
