idx,t_elapsed,Delta_dual,inner_status,delta_feasible
1,2.5411579608917236,1.128703663779508,0,false
2,37.26960110664368,1.1264585473816047,0,false
3,99.53617811203003,2.1769845690545124,0,false
4,102.06237196922302,1.3050993584852515,0,false
5,103.39105296134949,1.1546559176336983,0,false
6,104.62477207183838,1.1261553927684111,0,false
7,132.33304810523987,1.1138281632097489,0,false
8,160.47927498817444,1.114294051004543,0,false
9,162.05975198745728,1.113966312399919,0,false
10,163.23129796981812,1.113623528377387,0,false
11,174.55698013305664,1.1142315297509322,0,false
12,175.7253270149231,1.1139491829067016,-101,false
13,176.92973709106445,1.11368759343525,0,false
14,177.9177529811859,1.1136502810361464,0,false
15,178.99442315101624,1.1136886936784907,0,false
16,180.0860149860382,1.1136295229844984,0,false
17,181.3937771320343,1.1136284948564146,0,false
18,182.4371690750122,1.1136397658131891,0,false
19,183.43077993392944,1.1136313546094472,0,false
20,184.44058203697205,1.113627441430305,0,false
21,185.43178415298462,1.1136254848880662,0,false
22,186.62258505821228,1.1136245066287813,0,false
23,187.52342009544373,1.1136240175021,0,false
24,188.52082514762878,1.1136237729394944,0,false
25,189.67972493171692,1.1136236506583812,-101,false
26,191.7829930782318,1.1136235895178643,0,false
27,192.67047595977783,1.1136235589476213,0,false
28,193.86028003692627,1.1136235436625028,0,false
29,194.77338099479675,1.1136235360199445,0,false
30,195.76200199127197,1.1136235321986676,0,false
31,196.88616013526917,1.1136235302880249,0,false
32,197.79656410217285,1.113623529332708,0,false
33,198.8638219833374,1.1136235288550442,0,false
34,200.07790899276733,1.1136235286162157,0,false
35,200.97433996200562,1.1136235284968048,0,false
36,202.31450295448303,1.1136235284370986,0,false
37,203.22784900665283,1.1136235284072398,0,false
38,204.03415203094482,1.1136235283923146,0,false
39,205.0239679813385,1.1136235283848497,0,false
40,206.0148890018463,1.1136235283811189,0,false
41,206.97963905334473,1.1136235283792508,0,false
42,207.97551894187927,1.1136235283783205,0,false
43,208.86822199821472,1.113623528377855,0,false
44,209.80665707588196,1.1136235283776192,0,false
45,210.73438000679016,1.113623528377506,0,false
46,211.46827602386475,1.1136235283774494,0,false
47,212.88125705718994,1.1136235283774172,0,false
48,213.60475993156433,1.1136235283774025,0,false
49,214.52654695510864,1.1136235283773948,0,false
50,215.26395392417908,1.1136235283773896,0,false
51,216.00176811218262,1.1136235283773899,0,false
52,216.34320998191833,1.113623528377387,0,false
53,231.76872301101685,1.3134041340829141,0,false
54,233.21391892433167,1.1487155264049462,0,false
55,234.6436951160431,1.1165089180661336,0,false
56,236.6004331111908,1.1122153042944762,0,false
57,265.30358600616455,1.1062410630313388,0,false
58,294.0943419933319,1.5499555225887045,0,false
59,295.63990592956543,1.1954157909557646,0,false
60,297.0012860298157,1.1229901556130117,0,false
61,298.25797295570374,1.107636767220083,0,false
62,299.7958400249481,1.10579301480186,0,false
63,329.2300329208374,1.102998958809257,0,false
64,358.21050906181335,1.106132783329817,0,false
65,359.987154006958,1.1028580296133381,0,false
66,387.7617919445038,1.0954495107937359,0,false
67,416.19928312301636,1.0926500246230355,0,false
68,445.6883969306946,1.0755913436225784,0,false
69,476.8589930534363,3.0614885369355953,0,false
70,478.6897530555725,1.4102169028189149,0,false
71,479.9445450305939,1.14168953963266,0,false
72,481.22720313072205,1.0839089338901986,0,false
73,482.66806292533875,1.0709529048595312,-101,false
74,510.9440641403198,1.0658871342050908,0,false
75,539.232027053833,1.0605649112295963,0,false
76,580.229287147522,2.294899166455866,0,false
77,581.8142600059509,1.2684111751523433,0,false
78,583.0496461391449,1.0940134240795483,0,false
79,584.386029958725,1.0617761931716219,0,false
80,585.724573135376,1.0580348141617175,0,false
81,614.0161230564117,1.053807918097242,0,false
82,642.2636060714722,1.1319485215985954,0,false
83,643.4138381481171,1.0686614832489614,0,false
84,644.6863179206848,1.0528511728441896,0,false
85,672.5819399356842,1.0473970206358854,0,false
86,700.548152923584,1.0386420418971196,0,false
87,732.573056936264,1.8093142214839253,0,false
88,734.022628068924,1.1810006034415883,0,false
89,735.2686841487885,1.0624362306502728,0,false
90,736.5050921440125,1.039076892166503,0,false
91,737.8694961071014,1.036291338163117,0,false
92,765.839437007904,1.0348205922307736,0,false
93,794.445641040802,1.04736519809009,0,false
94,795.8093659877777,1.0337189004552936,0,false
95,823.9600999355316,1.0280250868295506,0,false
96,852.055545091629,1.4890897077317784,0,false
97,853.4085619449615,1.123790904623252,0,false
98,854.5806150436401,1.047969410922318,0,false
99,855.9556851387024,1.0301485466420617,0,false
100,857.1335580348969,1.0270455224829258,0,false
101,885.1206550598145,1.0239248301829467,0,false
102,912.8099570274353,1.0496252005656277,0,false
103,913.9869451522827,1.027682488640879,0,false
104,915.095762014389,1.0229003233385343,0,false
105,942.8813891410828,1.0205256854884919,0,false
106,970.9134840965271,1.0684479745736228,0,false
107,972.2512230873108,1.0320116599665572,0,false
108,973.612627029419,1.0223396140593977,0,false
109,975.1259660720825,1.0203019771240183,0,false
110,1002.9156651496887,1.0186824674267183,0,false
111,1030.6434969902039,1.055188104716161,0,false
112,1031.8593940734863,1.0265366218883625,0,false
113,1032.9457521438599,1.0197786587386952,0,false
114,1034.4376020431519,1.0189420547029504,0,false
115,1035.6539070606232,1.0183373398126356,0,false
116,1047.015310049057,1.0178819395290764,0,false
117,1074.6718831062317,1.0177780477077734,-101,false
118,1102.5256190299988,1.016535774487194,0,false
119,1130.650505065918,1.0475631061396198,0,false
120,1131.8710129261017,1.025133553100937,0,false
121,1133.1752059459686,1.0180925149242843,0,false
122,1134.4826130867004,1.0167170259578886,0,false
123,1135.9256579875946,1.0163912331850482,0,false
124,1147.374125957489,1.016390251458036,0,false
125,1176.8038461208344,1.0156842261750658,0,false
126,1204.7818870544434,1.0150445492861981,0,false
127,1232.26309299469,1.0138017405240212,0,false
128,1259.6069860458374,1.013547371380709,-101,false
129,1287.744080066681,1.0094819244435544,0,false
130,1315.4872810840607,1.0910881090709332,0,false
131,1316.696051120758,1.0261568635762432,0,false
132,1317.7925601005554,1.010535633603563,0,false
133,1318.7889199256897,1.0077548594745482,0,false
134,1346.0003371238708,1.0032274539001458,0,false
