metric,reference_naive_at_theta0,profiled_at_theta0,naive_diff,reference_at_recovered_A,profiled_at_theta0_dup,decisive_diff
nStatus,0,0,0,0,0,0
K_payoff,-0.9609650007465946,-0.9609650007465946,0,-0.9609650007465946,-0.9609650007465946,0
Delta_dual,0.0010029941762691272,0.0008944064101798138,0.0001085877660893134,0.0008944064101798343,0.0008944064101798138,2.05e-17
Delta_primal,0.001002994176269365,0.0008944064101798833,0.0001085877660894817,0.0008944064101796029,0.0008944064101798833,2.80e-16
max_abs_moment_kkt_resid,4.082057025735091e-15,5.751989445353992e-15,,1.0205142564337727e-14,5.751989445353992e-15,
m_min_LFD,0.6668440231771392,0.6603567014874824,0.006487321689656,0.6603567014877288,0.6603567014874824,2.46e-13
m_max_LFD,1.3620237572625022,1.264589824410686,0.0974339328518162,1.2645898244108753,1.264589824410686,1.89e-13
max_abs_m_weights_diff,,,0.1648189743752041,,,8.218981051300034e-13
winner_checksum,81357,81357,0,81357,81357,0
