variant,start,status,wall_s,dzeta,dlambda
qn_bfgs,1,-400,1.728874921798706,0.0910277374068196,NaN
qn_bfgs,2,-400,1.629755973815918,0.23063922809563983,NaN
qn_sr1,1,-400,1.895294189453125,0.9905365656942278,NaN
qn_sr1,2,-400,1.7495200634002686,0.4807291778563745,NaN
qn_lbfgs,1,-400,2.1948719024658203,1.5108569087869825,NaN
qn_lbfgs,2,-400,2.1263368129730225,2.07891576578915,NaN
denseaccum,1,0,119.76202702522278,3.9898639947466563e-17,1.9113465150877307e-13
denseaccum,2,0,82.68765997886658,1.0495077029659683e-16,1.5019843008223788e-13
hvp,1,-100,48.25153398513794,7.480819913183168e-11,2.6689421103731625e-8
hvp,2,-100,55.02575397491455,9.710808979851437e-12,2.657314733534033e-8
