variant,wall_cold_s,n_fg_cold,n_hess_cold,wall_warm_s,n_fg_warm,n_hess_warm,Delta_dual,max_moment_resid,dzeta_vs_ref,dlambda_vs_ref
reference_dense,7.333539009094238,9,8,NaN,0,0,0.00259086187511218,NaN,0.0,0.0
qn_bfgs,3.694885015487671,326,0,3.1966350078582764,326,0,0.0025441704331257893,0.21488094970366678,1.353501191088402e-5,0.07547381652511954
qn_sr1,2.4632809162139893,206,0,2.401028871536255,206,0,0.002463777446841311,0.21488094970366678,0.00011223970541275868,0.1276052494740635
qn_lbfgs,2.586287021636963,300,0,2.7758848667144775,300,0,0.0020670102513982865,0.21488094970366678,0.00023672875376761849,0.1505456517713512
denseaccum,20.072505950927734,8,7,19.34724998474121,8,7,0.0025908618751121783,0.21488094970366678,1.7867651802561113e-16,4.890445687300016e-14
hvp,32.98276400566101,9,3015,32.98147916793823,9,3015,0.0025908618751121692,0.21488094970366678,3.2197595284388925e-13,1.6194207086428491e-10
