case,backend,median_time_s,median_bytes,median_gctime_s,speedup,alloc_ratio,status_match,delta_dual_diff
origin_zc/D4/K=1,1,dense,0.152766408,5.093916e7,0.006864855,1.0436947973361372,1.0049753470610823,true,1.3010426069826053e-17
origin_zc/D4/K=1,1,operator,0.146370767,5.11926e7,0.004133524,1.0436947973361372,1.0049753470610823,true,1.3010426069826053e-17
cm_meanzc/D4/L=10,K=2,2,dense,0.146080964,5.1130176e7,0.00334764,1.080737537836754,1.0050622160972025,true,2.6020852139652106e-18
cm_meanzc/D4/L=10,K=2,2,operator,0.135167845,5.1389008e7,0.004057781,1.080737537836754,1.0050622160972025,true,2.6020852139652106e-18
cm_meanzc/D4/L=10,K=1,1,dense,0.148184611,5.1001104e7,0.004522588,0.9973846491354005,1.0050671844280077,true,1.214306433183765e-17
cm_meanzc/D4/L=10,K=1,1,operator,0.148573182,5.1259536e7,0.004447307,0.9973846491354005,1.0050671844280077,true,1.214306433183765e-17
origin_zc/D4/K=2,2,dense,0.170662526,5.1069048e7,0.004454812,0.9873138070205421,1.0049727185045627,true,4.336808689942018e-18
origin_zc/D4/K=2,2,operator,0.172855403,5.1323e7,0.006394714,0.9873138070205421,1.0049727185045627,true,4.336808689942018e-18
cm_meanzc/D4/L=10,K=1,0,dense,0.156382448,5.0936472e7,0.002868281,1.156671566134746,1.0050692164153026,true,8.673617379884035e-19
cm_meanzc/D4/L=10,K=1,0,operator,0.135200391,5.119468e7,0.003136824,1.156671566134746,1.0050692164153026,true,8.673617379884035e-19
origin_zc/D4/K=1,0,dense,0.178774067,5.0875456e7,0.007100918,1.1856431936496545,1.0049658522962428,true,2.8189256484623115e-18
origin_zc/D4/K=1,0,operator,0.15078235,5.1128096e7,0.006132056,1.1856431936496545,1.0049658522962428,true,2.8189256484623115e-18
