1,1.0119189,1.0215354,1.0108433,1.0509263,1.008646,1.0161175,1.0053996,1.0249013,1.007383,1.037501,1.0306963,1.0188664,1.0316379,1.033666,1.0357953,1.0152233,1.0483942,1.0016189,1.0111548
1.0313884,1,1.0943725,1.0145429,1.0122662,1.0588186,1,1,1,1.0523499,1.0734375,1,1.0514677,1.0104349,1.0011206,1,1.058383,1.0065382,1.0143994,1.0168493
1.0000746,1.0265604,1,1.0113529,1.0028131,1.0158024,1.0361211,1.0161353,1.0633138,1.0366225,1.1764876,1.0415657,1.0297749,1.5183306,1.0240552,1.0613979,1,1.2041085,1.0038532,1.0348593
1.0076034,1.0023587,1.036278,1,1.0075012,1.0459421,1.004905,1.0039049,1.001376,1.0139152,1.0675023,1.0031736,1.066059,1.0173599,1.0003784,1.0017707,1.0382811,1.0187557,1,1.0273408
1.0145338,1.0013288,1.0681882,1.0105588,1,1.0100451,1.0012747,1.0008522,1.0003084,1.054674,1.0968871,1.0002037,1.0016701,1.0009127,1.0001096,1.0014528,1.0424268,1.0010492,1.0106722,1.0155044
1.0002114,1.037237,1.1318412,1.0326854,1.0010415,1,1.0318323,1.0440431,1.0336396,1.0070752,1.0652164,1.0367874,1.0131799,1.0463099,1.0339044,1.0287842,1.0005078,1.0154669,1.0264741,1.0379276
1.0340396,1,1.108699,1.0107936,1.0054263,1.0910254,1,1,1,1.0588988,1.079854,1,1.010566,1.0079443,1.0005621,1,1.0386225,1.0028756,1.0155164,1.0105782
1.0351927,1,1.0850878,1.004938,1.0241418,1.0703834,1,1,1,1.0753257,1.1007595,1,1.1128469,1.0088801,1.0025047,1,1.0578263,1.0142716,1.0329458,1.0283079
1.0301242,1,1.0969635,1.0104129,1.0009917,1.0808638,1,1,1,1.0633667,1.1303267,1,1.0121294,1.0013233,1.0026165,1,1.0446664,1.0032035,1.0155514,1.0195519
1.000978,1.0024672,1.1489165,1.0592543,1.0106041,1.0118865,1.0041366,1.0082082,1.0049254,1,1.0362574,1.009836,1.0025023,1.0046803,1.0894843,1.0075622,1.0001183,1.0371495,1.0414752,1.0268341
1.0228809,1.002573,1.1039722,1.0390284,1.0064806,1.0144972,1.0023431,1.0045631,1.0032313,1.0234253,1,1.0034803,1.005264,1.0512346,1.1225791,1.0072514,1.0000268,1.0161932,1.0161408,1.0530623
1.0359766,1,1.114262,1.0179145,1.0112033,1.0848469,1,1,1,1.0563681,1.0909075,1,1.0590131,1.0063846,1.0015911,1,1.0523381,1.0035592,1.0260315,1.0192475
1.0000144,1.0350322,1.1293025,1.0190243,1.0001798,1.0650256,1.0279729,1.0532931,1.031859,1.0127156,1.0289274,1.0400617,1,1.0558196,1.0001392,1.0226872,1.0305127,1.0338385,1.0178496,1.0261452
1.0000042,1.0000042,1.0986499,1.0025285,1.0001013,1.0275009,1.0000007,1.0000001,1.0000031,1.0038716,1.0035359,1.0000006,1.0089879,1,1.0270505,1.0000013,1.0369076,1.0029836,1.0007663,1.025234
1.0142828,1.0004004,1.0217562,1.0000019,1.0003095,1.0440685,1.000468,1.0002524,1.0005968,1.0530229,1.0059835,1.0006952,1.0007831,1.0447571,1,1.0012896,1.0003428,1.0220536,1,1.0186433
1.0240475,1,1.0739764,1.0085087,1.016996,1.0696959,1,1,1,1.0679699,1.0790253,1,1.0646961,1.0075811,1.0090204,1,1.0436461,1.0082283,1.0192692,1.0144759
1.0185055,1.0132161,1.0173963,1.0117335,1.0226653,1.0140351,1.0097312,1.0177922,1.0174061,1.016606,1.067499,1.0053662,1.0055176,1.0773529,1.008568,1.0100337,1,1.0454621,1.0004557,1.0169498
1.0305345,1.0004406,1.1364237,1.0572947,1.001683,1.0580583,1.0010916,1.0018085,1.0009004,1.044703,1.0736634,1.0005695,1.0324126,1.0066884,1.1031679,1.0011423,1.0523351,1,1.0146838,1.0508723
1,1.0193869,1.0589466,1,1.0054923,1.0519923,1.0226101,1.0152316,1.0165322,1.0369703,1.0744203,1.014876,1.0504994,1.0417789,1,1.0175012,1.0481716,1.0275998,1,1.0259063
1.0063484,1.0044117,1.0405765,1.0155159,1.0057695,1.0158725,1.0034764,1.0050843,1.0066456,1.0112326,1.0302392,1.0036399,1.0081513,1.0280963,1.0191783,1.0065633,1.0257311,1.0296321,1.0155092,1
