iter,g,Delta,best_kind
1,0.99725,1.018540545399987,continuation
2,0.997125,1.014302098987459,calib
3,0.9970625,1.0163749455197346,continuation
4,0.99703125,1.008576438259654,continuation
5,0.997015625,0.9942480007103667,continuation
6,0.9970234375,0.9850598607062412,continuation
7,0.99702734375,0.9859844182527243,continuation
8,0.9970292968750001,0.9864473962879787,continuation
9,0.9970302734375001,0.9866790604630257,continuation
10,0.99703076171875,0.986794936382728,continuation
