step,pairwise_infeasible,winner_feasible,worst_slack,t_pairwise_ms,t_winnerscan_ms,stage
0.5,false,true,2.153170951350768,0.03719329833984375,769.1359519958496,20
0.5,false,true,2.1123145806078174,0.03910064697265625,399.3978500366211,20
0.5,false,true,2.118955988468377,0.03600120544433594,242.61188507080078,20
0.5,false,true,2.1948852766514673,0.05412101745605469,317.965030670166,20
0.5,false,true,2.133267841274195,0.03695487976074219,261.0321044921875,20
0.5,false,true,2.145081568725333,0.03600120544433594,244.2021369934082,20
0.5,false,true,2.1817608438935654,0.03504753112792969,243.8640594482422,20
0.5,false,true,2.154801626938154,0.03814697265625,254.47821617126465,20
0.5,false,true,2.168977933620946,0.03504753112792969,260.65802574157715,20
0.5,false,true,2.1211368862720352,0.034809112548828125,236.82403564453125,20
0.5,false,true,2.1480619578390563,0.03504753112792969,254.11486625671387,20
0.5,false,true,2.1206014388896346,0.035762786865234375,260.0719928741455,20
0.5,false,true,2.250312508314517,0.03600120544433594,244.44079399108887,20
0.5,false,true,2.1850982394938203,0.03504753112792969,287.2500419616699,20
0.5,false,true,2.1516869292020484,0.0438690185546875,321.5060234069824,20
0.5,false,true,2.1439991523034916,0.03814697265625,252.6388168334961,20
0.5,false,true,2.099163963466678,0.03504753112792969,255.22804260253906,20
0.5,false,true,2.146197482512312,0.03600120544433594,259.6309185028076,20
0.5,false,true,2.155141947952929,0.050067901611328125,269.57201957702637,20
0.5,false,true,2.1604024099882384,0.03504753112792969,236.08803749084473,20
0.5,false,true,2.127434463525658,0.03695487976074219,234.82298851013184,20
0.5,false,true,2.1254078075647964,0.03504753112792969,250.2000331878662,20
0.5,false,true,2.174505706067473,0.0438690185546875,245.30792236328125,20
0.5,false,true,2.1840858843371063,0.03409385681152344,242.62213706970215,20
0.5,false,true,2.1391521841332715,0.03504753112792969,245.25189399719238,20
1.0,false,true,2.1700005525864423,0.052928924560546875,327.3890018463135,20
1.0,false,true,2.1177091892617295,0.03600120544433594,246.00601196289062,20
