julia_num_threads,openblas_num_threads,setup_wall_s,value_median_s,grad_median_s,grad_threaded
1,1,59.694640159606934,2.48559793,36.981603847,false
5,1,55.13017916679382,1.950765869,12.186131123,true
10,1,53.28326606750488,1.898105997,8.377685535,true
20,1,56.596226930618286,1.7580382765,6.767124909,true
