component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,6,1862.146049,1863.1728491666665,1839.137392,1904.76284,22.4534342070205
inner_moment_build,6,1211.1243140000001,1213.7851826666667,1191.8298650000002,1238.9020799999998,17.66798988554099
winner_compute,6,308.760457,309.760014,298.219712,322.184376,11.20117893042788
moments_reuse,6,143.986365,144.80594599999998,142.197853,149.31599,2.7611091053891372
inner_knitro_dual_solve,6,58.942741,59.44011616666666,58.209286,60.986198,1.159045728339898
inner_dual_fg_callback,6,51.6682105,51.996173166666665,51.047235,53.162049,0.8295302229260653
kkt_residual_compute,6,49.689857499999995,49.905674166666664,48.713627,51.556354999999996,1.233645950281427
moment_resid_compute,6,49.0230235,49.046915000000006,47.785492,50.348327999999995,1.0917428487767609
primal_weight_recovery,6,27.642701,27.716401833333332,27.524896000000002,28.133108,0.2250226719096694
primal_divergence_compute,6,0.8905075,0.8860255,0.8443240000000001,0.914822,0.023009961875240032
gravity_compute,6,0.06959749999999999,0.070135,0.068843,0.07306,0.0016557482900489407
reconstruct_full,6,0.002989,0.0029509999999999996,0.002272,0.003722,0.0005145394056824025
