rep,total_s,inner_s,post_s
1,3.6790390014648438,1.2697479724884033,2.4092910289764404
2,3.6799850463867188,1.2875540256500244,2.3924310207366943
3,3.8144941329956055,1.3591351509094238,2.4553589820861816
4,3.561033010482788,1.2297611236572266,2.3312718868255615
5,3.618072032928467,1.1936860084533691,2.4243860244750977
