component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,3,4719.525482,4725.808763,4693.6614,4764.239407,35.70607067596112
inner_knitro_dual_solve,3,2895.94837,2911.5848330000003,2889.1749560000003,2949.631173,33.12269274757942
inner_moment_build,3,1219.95723,1221.9991486666665,1201.1568960000002,1244.88332,21.934609931291327
inner_dual_hessian_callback,15,507.9521930000001,508.4512081999999,482.606524,538.279903,11.917187795276755
winner_compute,3,315.324475,310.132217,297.763643,317.308533,10.757338826677707
moments_reuse,3,145.226552,145.33907866666664,142.00590599999998,148.78477800000002,3.3908366351284744
inner_dual_fg_callback,18,55.6255915,56.87427422222221,53.060491,79.526548,5.829425592642903
kkt_residual_compute,3,50.662265,50.543465000000005,48.541244999999996,52.426885,1.945542246367322
moment_resid_compute,3,49.678315,49.60946733333333,47.835429,51.314658,1.740635978461417
primal_weight_recovery,3,28.058823,27.96646733333333,27.463160000000002,28.377419,0.464073869814207
primal_divergence_compute,3,0.910728,0.8944883333333333,0.855298,0.917439,0.03410529358227742
gravity_compute,3,0.070676,0.075446,0.065988,0.08967399999999999,0.012542779755700085
reconstruct_full,3,0.0034319999999999997,0.004167666666666667,0.001934,0.007136999999999999,0.002678377556158454
warm_start_reset,3,0.00066,0.0005899999999999999,0.00042300000000000004,0.000687,0.00014525494828060076
