h_mode,threaded,median_s,mean_s,min_s,max_s
adaptive,true,6.435019572,6.45329383125,6.359703466,6.583432715
adaptive,false,35.295107138000006,35.3008030745,35.268966504,35.344031518
fixed,true,4.3769346680000005,4.3726992605,4.345476901,4.391450805
fixed,false,11.4332750485,11.4248114625,11.28841869,11.544277063
