dir,status_plus,status_minus,secant,pred_adaptive,pred_quantile,pred_fixed,pred_cached_warm,finite_sane,wall_plus_s,wall_minus_s
1,0,0,6.381749511906497e-5,9.18428118738774e-5,0.00017465913824375612,2.9404973463820673e-6,9.18428118738774e-5,true,6.156914949417114,5.584201097488403
2,0,0,0.000740505447278429,0.000609587825750482,0.0005483367811060664,0.0003644260062700529,0.000609587825750482,true,5.477685928344727,6.098613977432251
3,0,0,0.0002528314750346026,-5.511733675310486e-5,-5.1460653858102216e-5,0.00019186205225914094,-5.511733675310486e-5,true,6.077998876571655,6.028296947479248
4,0,0,0.0004607459963141148,0.0008541661309604028,0.000809980871072349,0.0004969238213520254,0.0008541661309604028,true,6.146754026412964,6.084568023681641
5,0,0,-0.0005936483619984993,-0.0005452238044679656,-0.0005924466919685792,-0.00041273011888929065,-0.0005452238044679656,true,5.9003589153289795,6.027586936950684
