h_mode,median_s,mean_s,min_s,max_s
adaptive,5.501564459,5.521333353999999,5.4814726,5.600731898
quantile,5.112428626,5.06947816825,4.858320966,5.194734455
fixed,3.0242156795,3.03113902825,3.001361889,3.074762865
cached_cold,4.1825207455,4.18124434725,4.141783535,4.218152363
cached_warm,2.958371455,2.9565442182499995,2.90310831,3.006325653
